"mukey","ksat_r"
540689,2.8199999
540690,2.8199999
540691,1.8069354283871
540692,1.81497000371257
540693,8.154800172
540694,21.879999
540695,50
540696,23.290001
540700,NA
540701,0.5
540704,0.5
540707,3.81300849883761
540708,3.81300849883761
540709,0.92000002
540710,0.92000002
540711,NA
540712,NA
540713,28.23
540714,23.0497360263158
540715,18.1641130312057
540716,23.290001
540717,22.4052938627451
540718,23.290001
540719,2.68099280780142
540720,28.23
540721,28.23
540723,2.8199999
540725,NA
540726,NA
540727,91.739998
540728,91.739998
540729,91.739998
540731,9.1700001
540732,9.1700001
540737,14.11
540738,14.11
540739,14.11
540740,21.870001
540741,2.3299999
540742,2.3299999
540743,2.3299999
540744,2.3299999
540745,2.8199999
540752,21.879999
540753,21.879999
540756,NA
540762,28.23
540764,92
540770,NA
540772,423.07001
540776,14.11
540777,NA
740653,NA
