"mukey","ksat_r"
988892,91.739998
988894,7.7600002
988895,7.7600002
1147605,92
1147606,92
1149496,162
1149500,9
1149502,7
1149505,0.92000002
1149509,9
1149512,0.92000002
1149520,162
1149526,162
1149528,2.7
1292319,2.7
1292320,3.81176470588235
1292322,2.7
1292323,2.7
1481318,92
1481319,28
1481320,28
1481322,NA
1481645,0.92000002
1481652,4.58388884444444
1481656,3.75
1481657,46.95
1481658,46.95
1486194,2.7
1486201,2.7
1486202,92
1486203,9
1486206,2.7
1486207,7
1486212,91.739998
1486213,91.739998
1486216,162
1486218,0.92000002
1486222,3.75
1486223,3.75
1486224,28.23
1486225,9
1486226,2.7
1486228,46.95
1486231,3.81176470588235
1486232,8.38666682222222
1486235,0.92000002
1486243,92
1542323,2.7
1542324,2.344000004
1542325,282
1542326,2.7
1542327,2.344000004
1650269,2.7
1859069,NA
1859407,9.1700001
1859409,9
1859411,9
1859413,9.1700001
1859414,9.1700001
1859417,9.1700001
1859418,9.1700001
1859419,9.1700001
1859420,2.8199999
1859421,9.1700001
1859422,91.739998
1859423,91.739998
1859424,92
1859425,9.1700001
1859427,9
1859428,9
1859433,0.92000002
1859434,2.8199999
1859436,9
1859438,92
1859439,233
1859440,233
1859441,162
1859442,91.739998
1859443,162
1859446,8
1859447,91.739998
1859448,233
1859449,8
1859451,0.92000002
1859455,9
1859460,9.1700001
1859461,9.1700001
1859462,9.1700001
1859463,NA
1859464,9
2374076,NA
2384160,2.91239899318182
2384162,2.7
2384163,2.7
2384165,2.7
2384166,2.7
2384170,2.7
2384174,2.7
2384181,2.7
2384183,2.7
2384184,2.7
2384186,2.7
2384187,2.7
2384188,2.7
2384190,2.7
2384193,2.80780748663102
2384475,2.91239899318182
2384476,2.91239899318182
2386603,3.25775862931034
2386605,2.7
2386606,2.7
2386607,2.7
2386608,2.7
2386609,2.8199999
2386610,2.7
2386611,2.7
2386613,2.7
2386653,2.8199999
2386709,2.7
2399064,2.7
2399152,2.7
2399154,3.25775862931034
2399155,25.0645161290323
2399156,2.7
2399157,2.7
2399554,2.7
2399570,NA
2399571,2.7
2399802,4.548
2399818,2.74761904761905
2399979,2.7
2399981,5.94727272727273
