"mukey","ksat_r"
541947,3.27357134285714
541948,2.8199999
541949,3.8867999336
541950,2.8199999
541951,1.74120874131868
541952,1.74120874131868
541953,21.879999
541954,11.707692
541955,91.739998
541956,91.739998
541958,9.1700001
541961,0.5
541962,0.5
541963,18.5386956521739
541965,NA
541966,NA
541967,1.803105208
541968,1.803105208
541969,0.92000002
541970,4.33574345177843
541971,4.33574345177843
541972,4.33574345177843
541973,4.33574345177843
541974,28.23
541975,28.23
541976,28.23
541978,28.23
541979,28.23
541980,9
541981,28.23
541991,2.3299999
541992,2.3299999
541993,28.7999998666667
541994,27.3884199684211
541999,17.4461536820513
542001,78
542002,28.1070421183099
542003,9.1700001
542009,14.11
542010,14.11
542011,2.3299999
542013,2.3299999
542014,2.3299999
542015,2.3299999
542016,42.34
542017,2.8199999
542019,2.8199999
542020,2.63068171818182
542021,23.290001
542022,23.290001
542023,23.290001
542024,23.290001
542025,23.290001
542035,26.5833336666667
542036,25.9052945882353
542038,19.0840432851064
542039,423.07001
542042,NA
542045,21
542046,21
542047,21
756351,NA
