"mukey","ksat_r"
544557,0.1
544559,0.1
544560,0.1
544561,7.0599999
544562,7.0599999
544566,3.06278572125
544567,3.09158491245283
544568,2.1325999168
544569,2.1325999168
544570,40.254340040568
544571,39.1973617628083
544575,3.74116666958333
544576,3.74116666958333
544579,37.1299667712418
544580,1.42566668133333
544581,7.69222224444445
544582,5.4174999625
544583,5.4174999625
544584,5.4174999625
544585,8.14454562727273
544586,8.14454562727273
544587,7.98968344162896
544591,2.45397250958904
544601,7.69222224444445
544602,14.11
544603,3.47520543972603
544604,3.47520543972603
544605,2.03072282409639
544606,2.03072282409639
544607,0.8070666744
544609,28.23
544610,2.47214650471204
544611,8.01520380180995
544612,28.23
544615,2.47214650471204
544616,2.4455318212766
544617,2.45397250958904
544618,1.80124525879245
544620,2.34025495606232
544621,2.34025495606232
544623,28.200001
544625,28.200001
544626,2.3299999
544628,1.36305020301158
544629,1.36305020301158
544630,7.7600002
544631,7.7600002
544632,7.7600002
544633,23.290001
544637,9
544638,9
544639,9
544641,1.41
544642,1.41
544645,1.97617487551913
544646,1.97617487551913
544648,23
544649,0.70999998
544656,1.41
544657,1.41
544658,4.88517590625
544659,4.88517590625
544660,4.88517590625
544661,1.19886179723577
544662,7.92588254117647
544666,0.906666666533333
544667,0.906666666533333
544668,0.906666666533333
544669,NA
544674,3.5
544675,3.5
544677,78
544678,12.145000475
544679,11.7322226777778
544680,8.4300003
544681,8.4300003
557360,3.010499906
557361,3.010499906
557362,22.5670235813149
557409,2.8199999
557410,0.1
557411,2.8199999
557412,2.8199999
581198,23.290001
621314,52.0022210666667
3180037,2.3299999
