"mukey","ksat_r"
1678194,9
1678195,9
1678196,24.9756244875
1678199,3.5
1678200,3.5
1678201,3.5
1678206,2.3299999
1678207,2.3299999
1678208,2.3299999
1678209,2.603599908
1678210,2.603599908
1678211,7.7600002
1678212,7.7600002
1678213,7.7600002
1678214,NA
1678218,28.23
1678219,28.23
1678220,28.23
1678227,211
1678228,28
1678229,28
1678230,9.1700001
1678241,1.20478633316239
1678242,1.20478633316239
1678245,NA
1678246,NA
1678247,7.7600002
1678248,7.7600002
1678250,0.906666666533333
1678251,0.906666666533333
1678252,3.36142852571429
1678253,3.36142852571429
1678254,3.38877858167939
1678255,1.04725827536573
1678256,1.07692374704655
2420172,9
2420175,9
2421642,2.03072282409639
2421648,0.834484697238168
2421658,2.81358564932271
2421659,2.81358564932271
2421661,2.72422221366667
2421671,0.70999998
2421673,92
2421674,92
2421735,0.8070666744
2421736,0.8070666744
2421737,0.1
2421738,0.1
2421740,0.1
2421741,0.1
2421744,78
2421755,23.290001
2422487,8.01520380180995
2422488,8.14454562727273
2422489,8.14454562727273
2422490,7.98968344162896
2422495,8.25131873296703
2423836,8.16571433285714
2423837,8.23117652117647
2423838,8.25131873296703
3180044,1.97617487551913
3180046,1.97617487551913
3180047,1.97617487551913
