"mukey","ksat_r"
296154,2.3299999
296160,0.661928934010152
296161,0.661928934010152
296184,23.290001
296196,23.290001
296197,23.290001
296198,23.290001
296199,14.8268230818009
296202,0.1
296203,0.1
296206,NA
539203,0.92000002
539204,0.92000002
539205,0.92000002
539206,0.92000002
539209,21.879999
539210,57.0443862820144
539216,3.5
539218,211
539219,211
539220,211
539221,211
539222,0.70999998
539235,0.92000002
539236,0.92000002
539237,0.92000002
539238,0.92000002
539239,0.92000002
539240,44.6966656666667
539244,44.6966656666667
539245,44.6966656666667
539247,7.7600002
539248,7.7600002
539249,7.7600002
539250,7.7600002
539251,0.70999998
539252,1.07521738173913
539253,1.07521738173913
539254,1.07521738173913
539255,0.70999998
539256,21.879999
539257,28
539258,NA
539259,23.285
539260,61.6292343740458
539261,77.629997
539262,1.84081626816327
539263,1.84081626816327
539265,141
539266,0.1
539267,0.1
539268,0.1
539269,0.330232558139535
539270,0.92000002
539274,5.65882360180996
539275,5.65882360180996
539276,5.65882360180996
539277,NA
1596613,0.70999998
1596614,1.07521738173913
2633045,0.1
2633073,23
2633074,23
2633075,23
2633116,7.7600002
2633133,1.07521738173913
2633134,1.07521738173913
