"mukey","ksat_r"
524750,27.612500125
524754,8.25131873296703
529720,2.3299999
529721,2.3299999
529722,7.7600002
529723,7.7600002
529724,7.7600002
529749,0.8070666744
529754,3.5
529755,3.5
529756,0.906666666533333
529757,0.906666666533333
529758,0.906666666533333
529759,8.14454562727273
529760,8.14454562727273
529763,8.23117652117647
529764,8.25131873296703
529765,8.16571433285714
529770,2.8199999
529774,2.03072282409639
529775,2.03072282409639
529780,28.23
529782,3.5
529783,3.49923073076923
529785,3.49923073076923
529788,7.7600002
529793,1.80124525879245
529794,1.80124525879245
529795,1.80124525879245
557483,NA
557485,2.3299999
557486,1.80124525879245
557487,1.80124525879245
557490,1.33506850191781
557491,1.33506850191781
557492,28.23
557493,28.23
557494,28.23
557495,44.6966656666667
557496,44.6966656666667
561329,44.6966656666667
561370,1.27294286194286
563160,2.3299999
563167,28.23
563168,28.23
563489,7.7600002
563490,7.7600002
563491,7.7600002
563496,8.01520380180995
563613,28.23
563636,70.779999
563638,0.1
563645,0.1
563650,0.1
563700,78
563793,0.906666666533333
563795,23
580374,5.71641707647059
633067,78
633071,0.1
708031,19.418875
742574,7.6999998
886499,28.23
1379906,NA
1486879,NA
1885362,3.36142852571429
1885363,3.38877858167939
2399586,2.3299999
2399590,2.47214650471204
2428756,23.290001
2436919,28.23
2438056,2.92666667111111
2438057,2.92666667111111
3180058,28
