"mukey","ksat_r"
542049,3.61899995666667
542050,2.8199999
542051,3.010499906
542052,3.010499906
542053,23.290001
542055,2.3299999
542056,2.3299999
542057,14.11
542058,0.5
542059,0.5
542060,0.5
542061,8.96153846153846
542062,14.955223880597
542063,18.5386956521739
542064,27.3037501875
542065,NA
542066,NA
542067,1.26523256348837
542068,1.26523256348837
542069,1.27294286194286
542070,3.5
542071,3.5
542072,3.5
542073,2.92666667111111
542074,28.23
542075,28.23
542076,1.80124525879245
542077,1.80124525879245
542078,1.80124525879245
542079,1.80124525879245
542080,44.4199149831933
542081,44.4199149831933
542082,1.2899250117
542083,1.2899250117
542084,1.33506850191781
542085,1.33506850191781
542086,2.3299999
542087,28.23
542088,28.23
542089,28.23
542090,44.6966656666667
542091,44.6966656666667
542092,44.6966656666667
542093,33.0731369607843
542094,49.6799986973684
542095,49.1875744848485
542096,8.4300003
542097,5
542098,8.4300003
542099,14.1
542100,14.1
542101,11.7322226777778
542102,2.49661016949153
542103,2.49661016949153
542104,4.58084518676056
542105,4.58084518676056
542106,1.42566668133333
542107,28
542108,23.285
542109,0.70999998
542111,8.03000004
542112,8.18095895205479
542113,8.23117652117647
542114,8.08896556034483
542115,8.06454549636364
542116,8.22000005
542117,0.8070666744
542118,2.8199999
542119,2.8199999
542120,2.8199999
542121,77.629997
542122,NA
542123,1.01764705882353
542124,1.01764705882353
542125,1.01764705882353
542126,2.3299999
542127,2.3299999
