"mukey","ksat_r"
553120,2.03072282409639
1720831,9.1700001
1720832,9
1720834,2.3299999
1720835,2.3299999
1720836,19.418875
1720838,2.03072282409639
1720843,3.5
1720844,3.5
1720845,3.5
1720846,3.5
1720848,2.92666667111111
1720854,28.23
1720861,1.80124525879245
1720872,2.3299999
1720874,2.3299999
1720876,2.3299999
1720877,2.603599908
1720878,2.603599908
1720880,7.7600002
1720881,7.7600002
1720883,7.96142875714286
1720884,7.96142875714286
1720885,7.7600002
1720886,38.6104114228454
1720893,39.1973617628083
1720902,211
1720904,28
1720905,0.70999998
1720910,8.25131873296703
1720916,0.8070666744
1720917,0.8070666744
1720918,4.88517590625
1720919,4.88517590625
1720921,4.88517590625
1720923,1.32551724482759
1720924,5.4174999625
1720925,5.4174999625
1720926,NA
1720927,8.14454562727273
1720928,8.14454562727273
1720929,7.98968344162896
1720931,8.01520380180995
1720936,0.906666666533333
1720937,0.906666666533333
1720938,0.906666666533333
1720940,0.906666666533333
1720942,23.290001
1720946,7.7600002
1720951,37.1299667712418
1720952,37.637479449528
1720955,8.277000053
1720956,8.25131873296703
1720965,28.23
1720966,28.23
1720967,28.23
2393847,2.8199999
2393848,2.8199999
2393851,2.8199999
2393852,2.8199999
2393876,78
2393877,78
2393890,8.16571433285714
2394563,1.30909664848739
2394564,7.7600002
3180045,1.97617487551913
3180048,1.97617487551913
3180051,28
