## Site Characteristics
Country     = 'USA'
Station     = '314332'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.1529; Latitude = 39.9732; Elevation = 647.76; AngstromA = 0.23; AngstromB = 0.46; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,7819.2,-3.75,1.55,0.33,6.25,0,NaN
20200102,7974.72,-0.95,10.05,0.43,4.67,6.1,NaN
20200103,3049.92,7.25,10.35,0.84,2.08,15.8,NaN
20200104,3162.24,-4.25,7.65,0.56,5.03,3.6,NaN
20200105,8579.52,-4.95,1.65,0.36,6.11,0.4,NaN
20200106,8441.28,-4.45,2.15,0.37,6.11,0,NaN
20200107,7058.88,-6.35,-0.05,0.28,3.52,3.7,NaN
20200108,5495.04,-12.75,-0.95,0.27,7.11,0,NaN
20200109,8354.88,-12.45,4.25,0.29,3.81,0,NaN
20200110,2609.28,3.85,12.45,0.57,4.81,3.7,NaN
20200111,7162.56,6.25,18.35,0.9,6.25,13.5,NaN
20200112,8795.52,-0.45,7.95,0.66,5.24,0.5,NaN
20200113,9080.64,-0.55,8.55,0.57,3.09,0,NaN
20200114,7102.08,-0.25,9.85,0.68,4.81,2.5,NaN
20200115,9581.76,-0.15,13.25,0.59,3.81,1.5,NaN
20200116,8372.16,-9.05,1.75,0.38,8.12,1.5,NaN
20200117,10056.96,-8.95,-3.15,0.15,3.95,0,NaN
20200118,3317.76,-6.55,5.55,0.38,7.04,26.1,NaN
20200119,5184,-12.75,-3.95,0.25,7.61,1.3,NaN
20200120,8881.92,-14.35,-5.75,0.21,4.31,0,NaN
20200121,9918.72,-14.95,-6.15,0.21,2.8,0,NaN
20200122,10644.48,-13.35,2.25,0.26,1.51,0,NaN
20200123,9512.64,-5.75,4.85,0.26,2.51,0,NaN
20200124,6445.44,0.15,4.05,0.47,5.53,19.1,NaN
20200125,5201.28,-2.05,3.35,0.5,3.52,2.4,NaN
20200126,5140.8,-2.85,-0.05,0.41,5.32,0.3,NaN
20200127,3516.48,-2.75,-0.05,0.41,5.1,1.8,NaN
20200128,9046.08,-3.85,-0.85,0.39,4.6,1.9,NaN
