## Site Characteristics
Country     = 'USA'
Station     = '312973'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -78.0368; Latitude = 40.0444; Elevation = 338.38; AngstromA = 0.23; AngstromB = 0.48; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8199.36,-3.05,5.85,0.36,4.17,0,NaN
20200102,8709.12,-2.65,9.45,0.46,2.87,2.9,NaN
20200103,2963.52,5.05,9.25,0.78,1.36,5.7,NaN
20200104,3516.48,-0.55,12.25,0.7,4.24,0,NaN
20200105,7905.6,-1.25,4.85,0.39,4.53,0,NaN
20200106,9002.88,-1.85,7.45,0.4,4.31,0,NaN
20200107,7369.92,-5.55,1.95,0.33,2.15,5,NaN
20200108,6540.48,-9.75,2.25,0.3,5.75,0.5,NaN
20200109,9253.44,-9.85,1.05,0.24,3.66,0,NaN
20200110,3352.32,-0.85,12.15,0.63,3.66,0,NaN
20200111,6808.32,8.35,19.15,1.18,5.53,12.1,NaN
20200112,8449.92,-0.15,13.85,0.75,4.24,0,NaN
20200113,9331.2,-0.25,8.85,0.66,1.94,0,NaN
20200114,6540.48,0.25,6.65,0.68,2.59,1.5,NaN
20200115,9996.48,-0.05,12.85,0.63,2.87,0.3,NaN
20200116,8026.56,-5.05,7.15,0.48,6.75,1.5,NaN
20200117,10558.08,-6.25,-0.85,0.16,4.02,0,NaN
20200118,3749.76,-5.15,3.55,0.35,5.53,11.1,NaN
20200119,5037.12,-7.55,1.75,0.33,5.67,0,NaN
20200120,9728.64,-9.45,-1.75,0.22,4.38,0,NaN
20200121,10722.24,-10.45,-1.55,0.27,2.59,0,NaN
20200122,11067.84,-10.15,2.45,0.32,1.29,0,NaN
20200123,10272.96,-7.25,2.95,0.36,2.23,0,NaN
20200124,8164.8,-2.65,6.35,0.52,3.88,30.6,NaN
20200125,4052.16,1.55,6.75,0.57,2.59,1.2,NaN
20200126,5866.56,0.85,4.25,0.46,3.23,0,NaN
20200127,3879.36,1.25,4.35,0.45,3.52,0,NaN
20200128,8605.44,0.35,4.15,0.44,3.88,0,NaN
20200129,10825.92,-6.65,4.35,0.4,2.51,0,NaN
20200130,10903.68,-6.55,2.35,0.32,2.15,0,NaN
20200131,7801.92,-1.35,4.75,0.44,2.01,0,NaN
20200201,4682.88,0.35,4.15,0.56,1.58,2.2,NaN
20200202,5235.84,1.25,12.25,0.54,4.45,0,NaN
20200203,11422.08,5.95,19.15,0.64,3.3,0,NaN
20200204,3957.12,1.85,17.05,0.84,2.37,1.9,NaN
20200205,4950.72,0.95,4.75,0.49,3.74,0.6,NaN
20200206,5901.12,1.95,5.75,0.67,2.73,14,NaN
20200207,3939.84,-2.15,4.85,0.5,5.75,7.2,NaN
20200208,7136.64,-2.35,3.95,0.33,2.44,0.7,NaN
20200209,7767.36,-0.85,6.85,0.42,3.16,3.6,NaN
20200210,3499.2,4.15,8.75,0.61,2.73,1.9,NaN
20200211,4648.32,0.65,9.15,0.62,3.09,0,NaN
20200212,10739.52,0.15,6.05,0.43,3.38,8.1,NaN
20200213,6030.72,-3.55,8.75,0.55,4.09,0.4,NaN
20200214,10255.68,-11.35,-0.95,0.23,4.24,0,NaN
20200215,13435.2,-11.75,0.75,0.21,3.52,0,NaN
20200216,4605.12,-3.35,9.25,0.42,2.01,0,NaN
20200217,13383.36,-2.55,10.55,0.42,2.23,0,NaN
20200218,4008.96,0.15,9.35,0.66,4.31,2.2,NaN
20200219,14230.08,-3.85,7.55,0.37,4.17,0,NaN
20200220,9227.52,-8.65,1.85,0.24,3.3,0,NaN
20200221,14765.76,-7.95,2.85,0.18,3.3,0,NaN
20200222,15180.48,-5.35,11.15,0.22,3.38,0,NaN
20200223,15111.36,-4.25,14.45,0.31,2.51,0,NaN
20200224,13884.48,-0.35,14.05,0.46,2.15,0,NaN
20200225,5762.88,5.55,9.35,0.77,1.65,0.5,NaN
20200226,11223.36,-1.75,12.75,0.71,3.23,11.9,NaN
20200227,10376.64,-3.75,0.75,0.28,7.83,0,NaN
20200228,7871.04,-5.25,3.85,0.26,5.1,0,NaN
