## Site Characteristics
Country     = 'USA'
Station     = '315761'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -77.341; Latitude = 39.923; Elevation = 410.29; AngstromA = 0.22; AngstromB = 0.5; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8017.92,-4.95,4.95,0.37,4.38,0,NaN
20200102,8881.92,-4.35,7.45,0.46,3.52,1.5,NaN
20200103,3084.48,3.25,7.75,0.74,1.51,5.2,NaN
20200104,3386.88,-1.15,12.65,0.69,4.24,1,NaN
20200105,7093.44,-1.95,2.75,0.39,4.74,0,NaN
20200106,9115.2,-2.95,7.45,0.41,4.45,0,NaN
20200107,7084.8,-7.15,3.25,0.37,2.15,4.3,NaN
20200108,7015.68,-10.75,2.15,0.3,6.03,0.3,NaN
20200109,9581.76,-10.85,-0.05,0.22,3.66,0,NaN
20200110,3983.04,-1.65,10.45,0.62,4.67,0,NaN
20200111,6955.2,9.75,18.65,1.22,6.54,11.6,NaN
20200112,9175.68,-0.25,15.55,0.77,4.74,0,NaN
20200113,9296.64,-0.05,7.95,0.67,1.94,0,NaN
20200114,6073.92,-0.35,5.75,0.66,2.66,2.4,NaN
20200115,10039.68,0.55,12.95,0.62,3.16,0,NaN
20200116,8121.6,-5.25,7.75,0.48,6.75,0.6,NaN
20200117,10670.4,-7.75,-1.05,0.16,4.24,0.3,NaN
20200118,3965.76,-7.15,0.65,0.34,5.75,11.7,NaN
20200119,4164.48,-8.05,2.15,0.35,5.67,0,NaN
20200120,10653.12,-11.05,-2.55,0.21,4.45,0,NaN
20200121,10825.92,-11.25,-1.75,0.26,2.59,0,NaN
20200122,10998.72,-10.25,2.35,0.31,1.36,0,NaN
20200123,10350.72,-8.25,3.15,0.36,2.23,0,NaN
20200124,8458.56,-1.45,7.55,0.5,3.88,39.4,NaN
20200125,3412.8,0.45,7.25,0.61,2.87,1.3,NaN
20200126,5892.48,0.95,5.65,0.47,3.38,0,NaN
20200127,4224.96,1.25,4.75,0.45,3.74,0,NaN
20200128,8182.08,0.05,4.25,0.43,3.95,0,NaN
20200129,10990.08,-6.85,4.95,0.39,2.73,0,NaN
20200130,11214.72,-6.65,1.55,0.29,2.01,0,NaN
20200131,7283.52,-2.85,4.35,0.44,2.01,0,NaN
20200201,5244.48,0.15,6.15,0.57,1.65,1.8,NaN
20200202,4933.44,2.25,11.55,0.54,4.53,0,NaN
20200203,11646.72,6.45,18.25,0.63,3.45,0,NaN
20200204,4129.92,4.35,18.45,0.88,2.51,0.6,NaN
20200205,4777.92,1.15,4.05,0.5,3.95,2.7,NaN
20200206,5676.48,0.95,5.65,0.69,2.59,17.2,NaN
20200207,4276.8,-0.45,6.15,0.57,6.25,9.3,NaN
20200208,7801.92,-2.95,4.25,0.32,2.8,0,NaN
20200209,8294.4,-1.95,6.45,0.41,3.3,0.9,NaN
20200210,3188.16,3.55,6.55,0.63,3.3,4.1,NaN
20200211,4544.64,-0.65,9.95,0.65,3.02,0,NaN
20200212,11525.76,-0.65,5.85,0.43,3.45,4.4,NaN
20200213,6143.04,-2.85,8.35,0.58,4.38,0.7,NaN
20200214,10886.4,-11.65,-0.75,0.24,4.24,0,NaN
20200215,14040,-12.25,-0.25,0.18,3.66,0,NaN
20200216,4475.52,-2.25,5.15,0.37,2.44,0,NaN
20200217,13832.64,-2.15,10.45,0.42,2.08,0,NaN
20200218,4596.48,1.05,8.65,0.69,4.45,1.2,NaN
20200219,14489.28,-3.45,8.05,0.39,4.09,0,NaN
20200220,10618.56,-8.45,1.85,0.25,3.3,0,NaN
20200221,15068.16,-6.95,2.95,0.18,3.38,0,NaN
20200222,15456.96,-5.65,11.65,0.24,3.45,0,NaN
20200223,15508.8,-3.65,14.45,0.32,2.8,0,NaN
20200224,14428.8,-1.85,14.65,0.52,2.37,0,NaN
20200225,5279.04,5.55,8.55,0.79,1.58,0.5,NaN
20200226,11819.52,-1.05,10.25,0.73,3.45,17.3,NaN
20200227,12260.16,-3.15,1.75,0.3,8.12,0,NaN
20200228,7274.88,-5.15,5.25,0.24,5.46,0,NaN
20200229,8009.28,-7.75,-0.75,0.19,5.75,0,NaN
20200301,16813.44,-4.95,9.05,0.28,3.09,0,NaN
20200302,13115.52,-1.45,17.55,0.64,3.59,2.9,NaN
20200303,9771.84,3.15,11.85,0.82,4.09,10.2,NaN
20200304,17107.2,-1.55,14.25,0.55,5.32,0,NaN
20200305,17746.56,-2.35,11.85,0.46,2.59,0,NaN
20200306,6523.2,-1.45,9.25,0.49,4.17,0.5,NaN
20200307,18688.32,-3.05,8.55,0.38,5.1,0,NaN
20200308,18783.36,-1.65,15.75,0.43,3.23,0,NaN
20200309,18843.84,1.45,22.45,0.61,3.3,0,NaN
20200310,5944.32,0.35,18.05,0.81,4.67,1.6,NaN
20200311,14808.96,0.35,9.25,0.62,1.94,0,NaN
20200312,18299.52,4.55,16.85,0.85,3.81,4.9,NaN
20200313,16882.56,2.05,20.15,0.85,6.18,0,NaN
20200314,17452.8,0.55,11.75,0.43,2.59,2.8,NaN
20200315,14065.92,-1.95,10.65,0.45,2.73,0,NaN
20200316,17781.12,-1.35,11.25,0.45,4.17,0.5,NaN
20200317,6626.88,-1.55,13.45,0.67,2.87,0,NaN
20200318,19448.64,-0.85,11.75,0.59,3.66,20,NaN
20200319,16398.72,7.45,12.55,1.08,3.16,0,NaN
20200320,14947.2,2.55,26.95,1.12,5.89,0,NaN
20200321,19440,-2.65,8.75,0.49,4.09,0,NaN
20200322,15776.64,-1.25,9.05,0.4,4.09,2.4,NaN
20200323,6168.96,0.55,6.15,0.6,3.16,5.3,NaN
20200324,21470.4,4.35,12.95,0.63,2.23,0.5,NaN
20200325,8372.16,1.65,6.35,0.72,2.37,9.7,NaN
20200326,21090.24,3.95,15.85,0.81,3.59,0.7,NaN
20200327,19604.16,6.95,19.15,0.94,1.94,10.7,NaN
20200328,10031.04,6.85,10.35,0.95,3.74,12.1,NaN
20200329,17357.76,7.35,13.35,1.09,4.38,0.4,NaN
20200330,15888.96,5.15,17.25,0.72,4.09,0,NaN
20200331,11076.48,3.15,9.65,0.68,2.15,3.4,NaN
20200401,13608,2.25,11.85,0.59,3.23,0,NaN
20200402,19889.28,3.85,14.05,0.46,5.67,0,NaN
20200403,19465.92,5.85,15.35,0.55,5.96,2,NaN
20200404,9322.56,4.25,13.35,0.72,1.94,0,NaN
20200405,15249.6,5.25,19.35,0.9,1.87,0,NaN
20200406,23293.44,6.15,18.35,0.65,2.44,0,NaN
20200407,13685.76,8.65,18.85,0.81,2.51,9.6,NaN
20200408,20442.24,6.95,22.05,1.09,3.81,4.5,NaN
20200409,15724.8,1.15,15.55,0.71,5.96,3.6,NaN
20200410,16718.4,0.05,6.85,0.39,7.83,0,NaN
20200411,18074.88,0.85,13.25,0.45,3.95,0,NaN
20200412,15456.96,4.85,17.95,0.82,4.17,27.3,NaN
20200413,12623.04,3.75,22.05,1.06,7.11,5.8,NaN
20200414,15154.56,-0.25,9.85,0.51,3.09,2.4,NaN
20200415,21841.92,-0.45,10.15,0.37,3.59,0,NaN
20200416,14351.04,-3.85,7.35,0.37,4.17,0,NaN
20200417,17781.12,-1.25,10.15,0.55,3.81,8,NaN
20200418,16830.72,-1.15,9.95,0.62,3.95,0.3,NaN
20200419,23561.28,2.85,14.85,0.64,3.59,0,NaN
20200420,22481.28,1.75,15.95,0.66,2.51,0,NaN
20200421,14057.28,0.05,13.85,0.56,6.32,3.7,NaN
20200422,23094.72,1.45,11.45,0.37,4.81,0,NaN
20200423,14532.48,4.35,13.15,0.73,3.3,13.2,NaN
20200424,7793.28,4.95,11.45,0.91,2.15,1.7,NaN
20200425,22749.12,5.05,17.35,0.96,2.66,7.5,NaN
20200426,6350.4,2.95,9.45,0.81,3.38,12.2,NaN
20200427,14299.2,2.35,11.65,0.63,4.53,0.5,NaN
20200428,12458.88,5.35,12.55,0.66,2.37,1.7,NaN
20200429,17392.32,8.35,20.55,1.14,5.39,18.3,NaN
20200430,11111.04,8.25,15.15,1.23,5.32,64.1,NaN
20200501,11957.76,7.65,16.85,0.88,2.95,0,NaN
20200502,18869.76,9.55,21.15,0.86,2.95,2.1,NaN
20200503,19396.8,13.35,23.95,1.25,3.45,0,NaN
20200504,22654.08,3.85,18.85,0.92,5.03,0,NaN
20200505,14886.72,5.75,12.05,0.61,1.72,5.2,NaN
20200506,7508.16,2.75,9.15,0.77,2.51,9.5,NaN
20200507,27311.04,4.95,17.55,0.59,3.81,0,NaN
20200508,12839.04,-0.95,9.35,0.69,3.66,11.9,NaN
20200509,18325.44,-0.25,6.75,0.35,5.89,0,NaN
20200510,21098.88,2.35,16.75,0.56,3.88,0,NaN
20200511,17366.4,3.25,12.25,0.62,5.53,0,NaN
20200512,22783.68,2.75,13.95,0.57,4.45,0,NaN
20200513,26196.48,4.15,19.35,0.61,2.37,0,NaN
20200514,17928,10.75,19.65,0.95,3.45,2.3,NaN
20200515,24909.12,14.55,28.65,1.59,4.17,0,NaN
20200516,26136,12.55,23.85,1.26,3.23,0,NaN
20200517,8873.28,12.25,17.15,1.2,3.38,1.2,NaN
20200518,19967.04,11.85,20.85,1.35,3.66,0,NaN
20200519,24105.6,8.65,20.15,0.9,5.32,0,NaN
20200520,23172.48,5.85,17.55,0.73,4.6,0,NaN
20200521,21677.76,7.35,20.85,1.13,3.23,0,NaN
20200522,8544.96,13.95,18.95,1.38,1.8,8.6,NaN
20200523,23647.68,13.85,25.85,1.56,2.59,0,NaN
20200524,19232.64,14.05,18.65,1.38,3.16,0,NaN
20200525,15482.88,12.65,23.45,1.51,2.51,0,NaN
20200526,27112.32,14.25,28.45,1.72,2.59,0,NaN
20200527,23319.36,17.25,25.45,1.66,3.23,4.2,NaN
20200528,17297.28,19.35,27.45,1.86,3.88,5.9,NaN
20200529,21755.52,14.55,29.25,1.98,4.24,15.5,NaN
20200530,26084.16,7.55,25.25,1.32,3.16,0,NaN
20200531,26965.44,5.35,20.05,0.9,3.66,0,NaN
20200601,26982.72,7.95,21.35,0.81,2.8,0,NaN
20200602,16830.72,12.35,24.25,1.15,3.09,0,NaN
20200603,24632.64,18.55,30.55,1.85,4.53,0,NaN
20200604,25436.16,18.25,30.85,2.02,2.66,16.2,NaN
20200605,12873.6,16.25,27.75,2.08,2.15,0.7,NaN
20200606,25583.04,12.55,29.45,1.78,3.45,0,NaN
20200607,26101.44,11.05,24.75,1.32,3.02,0,NaN
20200608,27440.64,11.75,25.95,1.22,1.01,0,NaN
20200609,26827.2,16.35,31.15,1.9,2.59,0,NaN
20200610,24053.76,20.85,31.25,2.43,4.67,11.8,NaN
20200611,19578.24,12.65,26.55,1.79,3.81,0,NaN
20200612,26628.48,9.85,27.25,1.43,3.16,0,NaN
20200613,27060.48,10.15,21.95,1.03,2.8,0,NaN
20200614,22489.92,10.15,20.25,1.1,2.3,0,NaN
20200615,25194.24,10.85,22.75,1.27,2.66,0,NaN
20200616,24226.56,12.85,23.95,1.26,2.51,0,NaN
20200617,20347.2,15.75,23.15,1.5,3.38,1.4,NaN
20200618,18627.84,16.25,25.65,1.8,2.95,0.6,NaN
20200619,19880.64,16.65,27.05,1.82,2.3,0.8,NaN
20200620,21228.48,15.95,25.95,1.88,1.8,9.1,NaN
20200621,24027.84,16.65,28.45,1.99,2.08,0,NaN
20200622,24235.2,17.25,30.65,2.21,2.73,8.9,NaN
20200623,25704,16.45,29.25,2.12,3.52,4.6,NaN
20200624,26447.04,15.05,26.55,1.53,3.23,0,NaN
20200625,23898.24,14.85,26.75,1.49,2.3,9.3,NaN
20200626,27025.92,18.15,28.65,1.53,3.16,1.6,NaN
20200627,25513.92,17.75,28.95,1.87,4.31,0,NaN
20200628,24200.64,18.45,30.55,1.97,2.59,0.5,NaN
20200629,27103.68,16.95,29.65,1.84,2.51,0,NaN
20200630,24840,17.05,28.25,1.8,1.94,0,NaN
20200701,24347.52,17.25,27.25,1.89,1.65,0,NaN
20200702,27915.84,19.05,30.95,1.94,2.51,0,NaN
20200703,27017.28,20.65,32.35,2.02,2.73,0,NaN
20200704,24649.92,20.55,32.25,2.24,1.29,0,NaN
20200705,27380.16,20.05,33.55,2.41,1.08,0,NaN
20200706,26231.04,19.65,34.35,2.5,1.51,5.3,NaN
20200707,26222.4,20.65,26.65,2.48,2.3,0,NaN
