## Site Characteristics
Country     = 'USA'
Station     = '292160'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -78.973; Latitude = 40.6579; Elevation = 439.17; AngstromA = 0.22; AngstromB = 0.47; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8553.6,-5.05,2.35,0.4,5.67,0,NaN
20200102,8493.12,-2.95,9.05,0.51,4.45,7.5,NaN
20200103,2782.08,5.05,9.95,0.76,1.65,13,NaN
20200104,3196.8,-3.65,8.25,0.58,3.88,1.9,NaN
20200105,7387.2,-3.45,2.45,0.42,5.39,2.2,NaN
20200106,8769.6,-4.75,4.55,0.45,5.89,0,NaN
20200107,8138.88,-4.95,0.95,0.36,3.09,1.3,NaN
20200108,5719.68,-11.35,-0.55,0.29,6.75,0,NaN
20200109,9011.52,-11.15,5.15,0.3,4.17,0,NaN
20200110,2963.52,2.65,11.75,0.65,4.38,5.3,NaN
20200111,6212.16,7.55,19.95,1.04,5.67,3.1,NaN
20200112,8303.04,-0.55,8.85,0.68,4.6,0,NaN
20200113,9685.44,-2.15,9.55,0.6,2.95,0,NaN
20200114,7758.72,-1.35,10.15,0.66,4.31,0,NaN
20200115,10056.96,-1.05,11.95,0.64,3.45,0.9,NaN
20200116,6454.08,-7.35,2.45,0.42,7.47,5,NaN
20200117,10134.72,-8.25,-3.35,0.19,3.59,1.7,NaN
20200118,3430.08,-5.65,6.55,0.43,6.46,16.7,NaN
20200119,4440.96,-11.25,-3.45,0.3,6.9,1.8,NaN
20200120,8821.44,-12.75,-3.65,0.25,3.74,1.3,NaN
20200121,10584,-13.75,-4.15,0.24,2.66,0,NaN
20200122,11093.76,-13.75,2.05,0.28,1.65,0,NaN
20200123,9806.4,-7.65,6.55,0.37,2.3,0,NaN
20200124,6739.2,0.15,6.05,0.52,5.17,22.8,NaN
20200125,4095.36,-1.15,4.65,0.57,3.45,3.2,NaN
20200126,4173.12,-1.15,0.35,0.49,4.96,2.6,NaN
20200127,2920.32,-1.15,0.65,0.48,4.67,0.6,NaN
20200128,7801.92,-2.45,0.95,0.46,4.09,2.2,NaN
20200129,10506.24,-8.45,0.85,0.37,2.23,0,NaN
20200130,10247.04,-8.35,1.65,0.36,2.23,0,NaN
20200131,7205.76,-1.85,4.65,0.45,1.65,1.7,NaN
20200201,5607.36,-1.15,1.75,0.54,2.3,2.8,NaN
20200202,4734.72,-1.25,9.85,0.58,6.54,1.7,NaN
20200203,11016,1.05,15.85,0.68,4.24,0.9,NaN
20200204,3602.88,-1.35,13.15,0.71,4.09,7,NaN
20200205,5555.52,-1.45,4.15,0.41,4.38,7.1,NaN
20200206,4570.56,-1.45,7.65,0.62,2.73,16.5,NaN
20200207,3127.68,-4.95,-0.15,0.44,5.75,5.1,NaN
20200208,7102.08,-4.95,0.55,0.39,3.16,0.3,NaN
20200209,8277.12,-2.85,5.75,0.45,3.59,20.2,NaN
20200210,3905.28,2.85,8.05,0.56,3.45,7.9,NaN
20200211,4518.72,-2.85,3.95,0.52,3.38,0.4,NaN
20200212,11361.6,-3.65,3.95,0.44,2.87,22.3,NaN
20200213,4224.96,-8.35,2.65,0.43,4.09,1.6,NaN
20200214,9599.04,-14.25,-5.85,0.22,3.74,0,NaN
20200215,12787.2,-13.05,2.35,0.26,3.52,0,NaN
20200216,4579.2,-5.35,5.05,0.45,3.66,0,NaN
20200217,12916.8,-4.85,8.05,0.43,2.37,0.4,NaN
20200218,3421.44,-3.15,8.65,0.57,4.96,8.6,NaN
20200219,13962.24,-8.05,4.15,0.38,4.38,0,NaN
20200220,6583.68,-11.05,-2.05,0.25,3.45,0,NaN
20200221,14376.96,-10.85,0.35,0.21,4.02,0,NaN
20200222,14964.48,-6.95,7.35,0.27,5.39,0,NaN
20200223,14834.88,-5.55,11.25,0.38,3.88,0,NaN
20200224,13547.52,-2.15,12.65,0.57,2.44,0,NaN
20200225,5460.48,4.25,9.75,0.71,1.87,3.4,NaN
20200226,7162.56,-5.15,11.85,0.61,3.02,27.7,NaN
20200227,10160.64,-8.05,-3.15,0.26,9.55,1.2,NaN
20200228,9227.52,-8.35,-1.65,0.23,6.97,0,NaN
20200229,6989.76,-9.65,-2.05,0.25,6.54,0,NaN
20200301,14212.8,-8.75,8.55,0.35,3.66,0,NaN
20200302,9668.16,5.75,14.55,0.55,4.38,4.8,NaN
20200303,6238.08,1.15,12.35,0.74,4.24,10.2,NaN
20200304,11283.84,-3.95,10.15,0.55,6.32,0,NaN
20200305,13340.16,-3.65,11.15,0.48,2.37,6.3,NaN
20200306,6670.08,-1.55,6.85,0.44,4.96,3,NaN
20200307,17219.52,-4.25,6.65,0.38,4.38,0,NaN
20200308,17357.76,-2.95,15.75,0.5,3.95,0,NaN
20200309,17271.36,4.95,19.45,0.68,4.81,1.7,NaN
20200310,6566.4,-1.25,13.75,0.73,5.82,4,NaN
20200311,12000.96,-0.95,8.15,0.62,1.94,0,NaN
20200312,16044.48,4.95,17.95,0.85,3.59,3.7,NaN
20200313,16744.32,-1.15,14.55,0.69,7.33,2,NaN
20200314,14420.16,-1.35,7.45,0.41,2.73,3.3,NaN
20200315,15327.36,-2.45,11.05,0.46,2.87,0,NaN
20200316,13469.76,-1.55,8.75,0.44,4.74,5.6,NaN
20200317,8363.52,-2.25,7.45,0.61,3.3,1.7,NaN
20200318,16225.92,-1.65,12.85,0.65,3.95,17.8,NaN
20200319,14022.72,9.65,18.45,1.13,3.52,19.1,NaN
20200320,10903.68,-1.25,21.65,0.9,6.75,15.5,NaN
20200321,17210.88,-2.45,4.65,0.38,2.95,0,NaN
20200322,18221.76,-1.55,8.45,0.38,4.67,1,NaN
20200323,5814.72,1.85,6.25,0.61,4.38,13.4,NaN
20200324,20053.44,1.95,9.25,0.6,2.23,2.8,NaN
20200325,14826.24,-0.55,10.05,0.67,2.59,1.5,NaN
20200326,19016.64,0.35,20.05,0.82,3.02,1.8,NaN
20200327,18964.8,8.45,16.35,0.9,1.44,8.8,NaN
20200328,12510.72,10.35,16.95,1.17,4.02,32.1,NaN
20200329,15595.2,8.85,24.85,1.25,6.61,0,NaN
20200330,8553.6,3.35,11.85,0.71,5.1,0,NaN
20200331,10385.28,3.65,8.05,0.63,2.51,2.1,NaN
20200401,11404.8,-0.85,11.45,0.6,3.45,2.1,NaN
20200402,19932.48,-0.35,13.25,0.51,5.6,0,NaN
20200403,21306.24,0.95,14.75,0.53,4.88,0,NaN
20200404,17902.08,2.95,13.15,0.66,1.72,0,NaN
20200405,16018.56,-0.25,19.65,0.81,2.44,1.6,NaN
20200406,21893.76,1.25,17.65,0.6,1.72,0,NaN
20200407,10895.04,7.75,17.85,0.89,3.02,18.6,NaN
20200408,18938.88,7.65,19.45,1.06,4.17,0,NaN
20200409,14653.44,-1.45,11.35,0.63,6.97,6.5,NaN
20200410,8640,-1.75,4.35,0.41,8.12,3.1,NaN
20200411,15007.68,-0.35,11.35,0.48,4.53,0,NaN
20200412,12726.72,4.55,19.45,0.71,4.02,7,NaN
20200413,11499.84,0.65,17.25,0.85,7.11,12.3,NaN
20200414,15396.48,-3.45,7.35,0.44,4.09,0,NaN
20200415,19681.92,-3.15,8.95,0.41,4.6,1.7,NaN
20200416,10938.24,-4.05,5.15,0.36,4.96,0,NaN
20200417,14584.32,-1.45,6.85,0.56,3.38,21.5,NaN
20200418,13996.8,-0.55,8.65,0.55,4.38,0.4,NaN
20200419,20666.88,1.35,13.85,0.63,4.53,0,NaN
20200420,23086.08,1.75,14.45,0.58,2.37,0.3,NaN
20200421,13357.44,-2.35,9.65,0.5,7.61,3.2,NaN
20200422,20632.32,-1.15,9.15,0.4,5.17,0.7,NaN
20200423,16009.92,3.45,17.85,0.8,3.38,4,NaN
20200424,9616.32,2.75,15.35,0.87,2.3,1.9,NaN
20200425,22040.64,4.15,18.95,0.93,3.3,6.7,NaN
20200426,7750.08,3.05,9.05,0.83,4.24,20.6,NaN
20200427,19586.88,3.55,14.05,0.58,3.74,0,NaN
20200428,10748.16,5.95,14.85,0.73,2.66,3,NaN
20200429,13824,8.85,19.85,1.09,6.11,14.9,NaN
20200430,12951.36,5.85,14.25,1.02,3.88,5.1,NaN
20200501,17841.6,3.25,12.75,0.83,3.09,0,NaN
20200502,13979.52,6.65,20.05,0.9,3.16,4.9,NaN
20200503,21850.56,8.85,22.95,1.29,4.38,0,NaN
20200504,22887.36,-0.45,11.95,0.71,4.74,0,NaN
20200505,12337.92,1.85,12.55,0.57,2.87,6.1,NaN
20200506,10471.68,-1.25,6.15,0.59,3.52,11,NaN
20200507,25056,1.55,16.15,0.63,4.6,0.4,NaN
20200508,13495.68,-3.95,8.35,0.56,3.23,7.8,NaN
20200509,12277.44,-2.05,4.65,0.35,6.46,1.4,NaN
20200510,16390.08,3.25,15.75,0.52,4.17,2.4,NaN
20200511,10091.52,0.65,5.75,0.59,5.67,2.6,NaN
20200512,21029.76,-0.55,11.45,0.58,5.24,0,NaN
20200513,27095.04,2.25,16.65,0.54,2.51,0,NaN
20200514,14031.36,10.85,19.45,0.98,3.38,2.4,NaN
20200515,19379.52,11.95,26.25,1.58,5.39,9.6,NaN
