## Site Characteristics
Country     = 'USA'
Station     = '303271'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -78.0239; Latitude = 40.3182; Elevation = 381.46; AngstromA = 0.22; AngstromB = 0.48; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8095.68,-0.35,4.45,0.35,4.74,0,NaN
20200102,8328.96,-0.05,8.95,0.43,3.3,2.2,NaN
20200103,2808,4.15,9.25,0.75,1.51,6.9,NaN
20200104,3628.8,-0.75,10.95,0.67,4.31,0.9,NaN
20200105,7516.8,-1.15,3.55,0.38,4.88,0,NaN
20200106,8648.64,-1.45,6.15,0.39,5.39,0,NaN
20200107,7171.2,-4.55,1.55,0.32,2.44,4.1,NaN
20200108,6160.32,-9.75,0.95,0.28,6.46,0,NaN
20200109,8631.36,-9.55,0.65,0.22,4.09,0,NaN
20200110,2989.44,-1.15,10.85,0.6,3.88,0,NaN
20200111,6600.96,6.05,18.45,1.08,5.53,14.8,NaN
20200112,8484.48,-0.75,10.55,0.7,4.74,0,NaN
20200113,8951.04,-1.05,8.15,0.62,2.3,0,NaN
20200114,6739.2,0.25,6.15,0.66,3.09,2.4,NaN
20200115,9564.48,0.25,11.75,0.59,3.23,0,NaN
20200116,7439.04,-6.05,4.45,0.44,7.11,0.8,NaN
20200117,10074.24,-6.75,-1.85,0.16,4.09,0.3,NaN
20200118,3602.88,-5.95,2.25,0.34,5.89,9.8,NaN
20200119,5132.16,-7.45,1.55,0.33,6.32,0.3,NaN
20200120,9184.32,-9.85,-3.15,0.22,4.24,0,NaN
20200121,10177.92,-10.45,-1.25,0.26,2.59,0,NaN
20200122,10601.28,-9.85,1.55,0.31,1.58,0,NaN
20200123,9892.8,-5.65,1.95,0.34,2.23,0,NaN
20200124,7948.8,-3.35,4.95,0.49,4.31,24.1,NaN
20200125,3732.48,0.85,6.05,0.52,2.87,1.9,NaN
20200126,5754.24,0.95,2.45,0.45,3.95,0,NaN
20200127,3741.12,1.05,3.15,0.44,4.24,0,NaN
20200128,8458.56,-0.45,2.95,0.43,4.09,0,NaN
20200129,10782.72,-6.65,2.35,0.38,2.59,0,NaN
20200130,10454.4,-5.75,2.65,0.31,2.3,0,NaN
20200131,7369.92,-0.55,2.85,0.42,2.08,0,NaN
20200201,4700.16,0.05,3.45,0.54,1.87,1,NaN
20200202,4656.96,0.15,10.55,0.53,5.1,0.9,NaN
20200203,11102.4,5.95,17.95,0.61,3.74,0,NaN
20200204,4216.32,0.75,15.45,0.79,3.02,1.8,NaN
20200205,5045.76,0.05,3.85,0.46,4.02,1,NaN
20200206,5486.4,1.45,5.45,0.65,3.02,13,NaN
20200207,3706.56,-2.75,2.85,0.48,5.89,4.9,NaN
20200208,6955.2,-1.95,4.35,0.33,2.87,5.2,NaN
20200209,7689.6,-0.15,5.45,0.41,3.3,7.1,NaN
20200210,3559.68,3.45,8.35,0.58,2.95,1.4,NaN
20200211,4803.84,-0.05,7.75,0.58,3.38,0,NaN
20200212,10817.28,0.05,5.05,0.41,3.45,10,NaN
20200213,6091.2,-5.25,6.15,0.5,4.45,0.3,NaN
20200214,10221.12,-10.65,-0.95,0.21,4.24,0,NaN
20200215,12951.36,-12.75,-0.05,0.2,3.66,0,NaN
20200216,4579.2,-3.95,8.15,0.41,2.51,0,NaN
20200217,12942.72,-3.35,9.45,0.41,2.23,0,NaN
20200218,3602.88,-0.75,8.05,0.62,4.74,3.2,NaN
20200219,13867.2,-4.95,4.95,0.36,4.24,0,NaN
20200220,7430.4,-9.15,-0.55,0.22,3.59,0,NaN
20200221,14333.76,-8.25,1.95,0.18,3.59,0,NaN
20200222,14748.48,-5.25,9.55,0.21,4.38,0,NaN
20200223,14670.72,-4.35,13.05,0.31,2.95,0,NaN
20200224,13573.44,0.45,13.65,0.45,2.44,0,NaN
20200225,5788.8,5.45,9.05,0.73,1.65,3.1,NaN
20200226,10342.08,-2.55,12.75,0.69,3.38,13.4,NaN
20200227,10843.2,-5.15,-1.25,0.27,8.69,0.7,NaN
20200228,8674.56,-5.75,1.55,0.24,6.11,0,NaN
20200229,8285.76,-5.35,-1.45,0.21,6.03,0,NaN
20200301,15396.48,-3.55,8.85,0.28,3.3,0,NaN
20200302,10903.68,0.85,17.75,0.58,3.23,3.3,NaN
20200303,8233.92,3.35,11.15,0.75,4.09,9.8,NaN
20200304,15482.88,-1.15,12.75,0.52,6.03,0,NaN
20200305,16528.32,-1.25,11.05,0.44,2.73,0,NaN
20200306,5011.2,-1.55,8.55,0.44,4.53,1,NaN
20200307,17642.88,-2.15,9.55,0.37,4.96,0,NaN
20200308,17651.52,-1.55,16.45,0.43,3.23,0,NaN
20200309,17599.68,3.25,21.35,0.56,3.59,0,NaN
20200310,5909.76,-0.65,16.45,0.75,4.88,0.8,NaN
20200311,13150.08,-0.45,7.25,0.6,1.94,0.5,NaN
20200312,17452.8,3.75,15.35,0.84,3.95,5.2,NaN
20200313,16390.08,2.55,17.15,0.75,6.68,0,NaN
20200314,15724.8,0.25,10.05,0.4,2.87,3,NaN
20200315,12985.92,-3.35,9.75,0.46,2.66,0,NaN
20200316,14921.28,-2.55,8.25,0.43,4.45,1.7,NaN
20200317,7620.48,-0.75,8.85,0.64,3.23,0,NaN
20200318,17375.04,-0.05,11.55,0.58,3.95,19.5,NaN
20200319,15863.04,7.05,16.25,1.08,3.09,5.1,NaN
20200320,13849.92,1.35,23.45,1,5.96,6,NaN
20200321,17953.92,-1.45,7.45,0.43,3.74,0,NaN
20200322,16009.92,-2.55,7.85,0.39,4.24,1.9,NaN
20200323,5607.36,1.25,5.15,0.58,3.88,8.6,NaN
20200324,20286.72,3.05,10.75,0.61,2.23,2.5,NaN
20200325,10186.56,1.35,7.85,0.71,2.59,3.8,NaN
20200326,19543.68,3.25,16.35,0.83,3.38,1.2,NaN
20200327,18472.32,7.75,17.65,0.9,1.94,9.4,NaN
20200328,11240.64,8.15,12.75,0.96,4.02,32,NaN
20200329,17297.28,8.25,17.55,1.04,5.32,0.4,NaN
20200330,13115.52,4.65,14.35,0.67,4.31,0,NaN
20200331,10005.12,3.15,8.95,0.64,2.08,0.4,NaN
20200401,13098.24,1.35,11.65,0.59,3.23,0.7,NaN
20200402,19872,2.65,14.35,0.46,5.82,0,NaN
20200403,21513.6,5.15,15.95,0.52,5.75,0,NaN
20200404,10488.96,3.75,15.15,0.71,1.8,0,NaN
20200405,14843.52,4.15,20.95,0.89,2.15,0.5,NaN
20200406,22481.28,6.05,18.55,0.57,2.44,0,NaN
20200407,11491.2,10.45,18.85,0.78,2.59,13,NaN
20200408,19457.28,7.45,21.25,1.04,4.02,4.3,NaN
20200409,15802.56,-0.65,13.25,0.65,6.32,5.8,NaN
20200410,14359.68,-0.75,4.75,0.39,8.12,0.4,NaN
20200411,17893.44,0.65,12.15,0.45,4.24,0,NaN
20200412,15059.52,2.55,19.95,0.79,4.09,7.8,NaN
20200413,12173.76,2.55,19.25,0.95,7.11,1.5,NaN
20200414,14964.48,-1.25,8.95,0.46,3.59,1.7,NaN
20200415,21202.56,-1.25,9.55,0.36,3.95,0.9,NaN
20200416,12657.6,-3.45,5.75,0.35,4.53,0.4,NaN
20200417,16070.4,0.65,7.25,0.5,3.59,17.5,NaN
20200418,16744.32,-0.15,9.65,0.58,3.95,0,NaN
20200419,22135.68,2.35,15.55,0.61,3.66,0,NaN
20200420,22489.92,2.55,16.05,0.59,2.44,0,NaN
