## Site Characteristics
Country     = 'USA'
Station     = '290773'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.0305; Latitude = 40.6953; Elevation = 430.93; AngstromA = 0.22; AngstromB = 0.47; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8579.52,-4.95,2.45,0.4,5.75,0,NaN
20200102,8519.04,-2.85,9.05,0.51,4.45,6.8,NaN
20200103,2738.88,5.05,10.15,0.75,1.65,12.7,NaN
20200104,3110.4,-3.55,8.45,0.58,3.95,1.7,NaN
20200105,7283.52,-3.35,2.65,0.43,5.46,2.4,NaN
20200106,8804.16,-4.75,4.75,0.46,6.03,0,NaN
20200107,8173.44,-4.85,1.05,0.37,3.16,1,NaN
20200108,5780.16,-11.25,-0.45,0.29,6.82,0.6,NaN
20200109,9037.44,-10.95,5.35,0.3,4.17,0,NaN
20200110,2998.08,2.85,11.65,0.63,4.31,6.1,NaN
20200111,6168.96,7.65,19.95,1.01,5.67,3.1,NaN
20200112,8311.68,-0.55,8.95,0.69,4.67,0,NaN
20200113,9754.56,-2.05,9.55,0.6,3.02,0,NaN
20200114,7776,-1.35,10.25,0.66,4.31,0,NaN
20200115,10108.8,-0.85,11.85,0.64,3.52,0.8,NaN
20200116,6488.64,-7.25,2.55,0.42,7.47,4.1,NaN
20200117,10056.96,-8.15,-3.25,0.2,3.59,1.8,NaN
20200118,3438.72,-5.55,6.55,0.44,6.54,14.8,NaN
20200119,4423.68,-11.05,-3.35,0.3,6.97,1.9,NaN
20200120,8907.84,-12.55,-3.55,0.26,3.88,1.2,NaN
20200121,10635.84,-13.65,-4.15,0.24,2.8,0,NaN
20200122,11136.96,-13.55,1.95,0.28,1.65,0,NaN
20200123,9823.68,-7.55,6.55,0.38,2.37,0,NaN
20200124,6730.56,0.35,6.25,0.53,5.32,22.9,NaN
20200125,4121.28,-0.95,4.75,0.57,3.52,3.3,NaN
20200126,4354.56,-1.05,0.55,0.49,5.03,2.6,NaN
20200127,2946.24,-1.05,0.75,0.49,4.74,0.6,NaN
20200128,7776,-2.25,1.05,0.47,4.17,2,NaN
20200129,10480.32,-8.25,1.15,0.38,2.23,0,NaN
20200130,10281.6,-8.15,1.65,0.37,2.3,0,NaN
20200131,7179.84,-1.65,4.65,0.45,1.65,1.8,NaN
20200201,5538.24,-0.95,1.75,0.55,2.3,2.8,NaN
20200202,4631.04,-0.95,9.75,0.58,6.54,1.9,NaN
20200203,10800,0.95,15.75,0.68,4.31,0.9,NaN
20200204,3516.48,-1.15,13.15,0.72,4.17,7.5,NaN
20200205,5512.32,-1.25,4.15,0.41,4.45,7.5,NaN
20200206,4501.44,-1.35,7.65,0.62,2.8,16,NaN
20200207,3006.72,-4.85,-0.25,0.43,5.75,5.1,NaN
20200208,6868.8,-4.75,0.55,0.39,3.16,0.4,NaN
20200209,7948.8,-2.65,5.65,0.45,3.59,19.3,NaN
20200210,3836.16,2.85,7.95,0.56,3.45,6.7,NaN
20200211,4380.48,-2.75,4.05,0.53,3.52,0.3,NaN
20200212,11171.52,-3.45,3.85,0.44,2.95,21.9,NaN
20200213,4034.88,-8.15,2.55,0.44,4.17,1.4,NaN
20200214,9383.04,-13.95,-5.85,0.22,3.81,0,NaN
20200215,12623.04,-12.85,2.35,0.27,3.59,0,NaN
20200216,4527.36,-5.25,5.05,0.46,3.74,0,NaN
20200217,12692.16,-4.65,8.05,0.44,2.37,0.7,NaN
20200218,3404.16,-2.95,8.65,0.57,5.03,8.2,NaN
20200219,13616.64,-7.95,4.15,0.38,4.45,0,NaN
20200220,6462.72,-10.85,-1.95,0.26,3.52,0,NaN
20200221,14048.64,-10.55,0.45,0.21,4.09,0,NaN
20200222,14688,-6.85,7.35,0.28,5.46,0,NaN
20200223,14567.04,-5.55,11.25,0.39,3.95,0,NaN
20200224,13262.4,-2.25,12.65,0.58,2.51,0.3,NaN
20200225,5339.52,4.35,9.85,0.72,1.94,3.6,NaN
20200226,6972.48,-4.95,11.85,0.61,3.09,27.8,NaN
20200227,9849.6,-7.85,-3.05,0.26,9.55,1.2,NaN
20200228,9167.04,-8.15,-1.55,0.23,7.04,0,NaN
20200229,6842.88,-9.35,-1.85,0.25,6.54,0,NaN
20200301,14057.28,-8.45,8.65,0.35,3.66,0,NaN
20200302,9383.04,6.15,14.75,0.55,4.45,4.2,NaN
20200303,6082.56,1.45,12.45,0.74,4.31,12,NaN
20200304,10920.96,-3.55,10.25,0.55,6.39,0.3,NaN
20200305,13236.48,-3.45,11.25,0.48,2.44,6.7,NaN
20200306,6557.76,-1.35,7.05,0.45,4.96,4.6,NaN
20200307,17064,-4.05,6.85,0.39,4.45,0,NaN
20200308,17193.6,-2.45,15.95,0.5,3.95,0,NaN
20200309,17098.56,4.85,19.65,0.69,4.81,1.8,NaN
20200310,6462.72,-0.95,13.75,0.74,5.82,4,NaN
20200311,11992.32,-0.65,8.25,0.63,1.94,0,NaN
20200312,15958.08,5.25,18.15,0.85,3.66,3.9,NaN
20200313,16614.72,-0.95,14.65,0.7,7.33,2.1,NaN
20200314,14281.92,-1.05,7.55,0.41,2.8,3.7,NaN
20200315,15413.76,-2.05,11.15,0.46,2.87,0,NaN
20200316,13383.36,-1.25,8.95,0.45,4.81,6,NaN
20200317,8337.6,-2.05,7.55,0.62,3.38,1.2,NaN
20200318,16053.12,-1.45,13.05,0.66,4.02,20.4,NaN
20200319,13884.48,9.95,18.55,1.13,3.52,17.6,NaN
20200320,10696.32,-0.85,21.85,0.92,6.75,15.7,NaN
20200321,16770.24,-2.15,4.75,0.38,3.02,0,NaN
20200322,18368.64,-1.25,8.65,0.38,4.67,1.6,NaN
20200323,5754.24,2.15,6.35,0.62,4.45,13,NaN
20200324,19880.64,2.25,9.35,0.61,2.23,2.4,NaN
20200325,15016.32,-0.15,10.25,0.69,2.59,1.4,NaN
20200326,18835.2,0.65,20.15,0.83,3.02,2.1,NaN
20200327,18843.84,8.75,16.35,0.91,1.51,9.8,NaN
20200328,12277.44,10.75,17.05,1.18,4.09,27.9,NaN
20200329,15482.88,9.25,25.05,1.26,6.54,0,NaN
