## Site Characteristics
Country     = 'USA'
Station     = '310181'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -78.8537; Latitude = 40.088; Elevation = 795.53; AngstromA = 0.24; AngstromB = 0.46; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8164.8,-3.45,1.55,0.35,5.17,0,NaN
20200102,8026.56,-0.75,10.75,0.45,4.45,7.2,NaN
20200103,2963.52,7.55,11.05,0.87,1.8,11.6,NaN
20200104,3291.84,-3.25,7.95,0.59,4.38,1.2,NaN
20200105,8553.6,-3.75,1.55,0.37,5.32,0,NaN
20200106,8665.92,-3.35,2.05,0.39,5.1,0,NaN
20200107,7300.8,-5.25,-0.45,0.3,2.8,3.6,NaN
20200108,5581.44,-11.55,-1.35,0.28,6.46,0.6,NaN
20200109,8527.68,-11.55,4.45,0.31,3.95,0,NaN
20200110,2695.68,3.35,12.75,0.61,4.96,3,NaN
20200111,7067.52,7.75,17.35,0.99,6.25,13.4,NaN
20200112,8838.72,0.25,7.85,0.69,4.6,0,NaN
20200113,9115.2,-0.05,8.85,0.61,2.3,0,NaN
20200114,6782.4,0.25,9.95,0.7,3.66,2.2,NaN
20200115,9624.96,0.15,12.95,0.62,3.38,1,NaN
20200116,8121.6,-7.55,1.25,0.41,7.33,1.2,NaN
20200117,10143.36,-7.95,-4.45,0.16,3.95,0.4,NaN
20200118,3412.8,-5.85,5.75,0.39,6.46,23.7,NaN
20200119,5063.04,-11.15,-4.15,0.27,6.61,0.4,NaN
20200120,8985.6,-12.65,-5.95,0.22,4.24,0,NaN
20200121,10048.32,-13.35,-6.75,0.24,2.37,0,NaN
20200122,10670.4,-12.25,1.85,0.28,1.36,0,NaN
20200123,9642.24,-5.05,5.35,0.31,2.23,0,NaN
20200124,6341.76,-0.35,4.15,0.49,4.45,23.3,NaN
20200125,5106.24,-0.95,3.05,0.51,2.95,1.6,NaN
20200126,5080.32,-1.55,-0.25,0.43,4.24,0,NaN
20200127,3386.88,-1.65,-0.35,0.43,4.24,1,NaN
20200128,8778.24,-2.55,-0.75,0.41,4.02,1,NaN
20200129,10800,-8.35,-1.55,0.36,2.3,0,NaN
20200130,9175.68,-7.95,-0.35,0.34,2.08,0,NaN
20200131,7948.8,-2.15,3.65,0.43,1.8,0.3,NaN
20200201,4743.36,-0.95,1.95,0.51,2.23,3.7,NaN
20200202,5745.6,-1.45,9.15,0.53,6.18,0.9,NaN
20200203,11128.32,4.55,15.85,0.62,4.02,0.9,NaN
20200204,3931.2,-1.15,12.85,0.72,3.52,2.5,NaN
20200205,5538.24,-1.05,3.25,0.48,4.45,0.5,NaN
20200206,5460.48,-0.65,9.45,0.7,2.8,17.7,NaN
20200207,3343.68,-4.95,-0.65,0.44,5.89,4.1,NaN
20200208,6436.8,-5.05,-0.75,0.33,3.16,1,NaN
20200209,9106.56,-2.85,5.95,0.4,3.81,10.9,NaN
20200210,3576.96,4.75,8.85,0.56,3.52,3.6,NaN
20200211,4354.56,-2.05,6.25,0.54,3.23,0,NaN
20200212,10497.6,-2.75,7.15,0.43,3.3,15.3,NaN
20200213,4726.08,-8.25,5.55,0.45,4.24,1.4,NaN
20200214,9624.96,-13.85,-6.45,0.2,3.88,0,NaN
20200215,12623.04,-12.65,1.95,0.22,3.66,0,NaN
20200216,4691.52,-3.25,6.55,0.41,3.16,0,NaN
20200217,12839.04,-3.45,8.25,0.39,2.51,0,NaN
20200218,3706.56,-2.65,7.95,0.58,4.74,6.9,NaN
20200219,14014.08,-7.15,3.45,0.36,4.24,0,NaN
20200220,8778.24,-11.25,-1.95,0.22,3.3,0,NaN
20200221,14480.64,-10.55,-0.75,0.17,3.66,0,NaN
20200222,14921.28,-5.55,6.75,0.21,4.6,0,NaN
20200223,14731.2,-2.25,10.95,0.3,3.66,0,NaN
20200224,13314.24,1.55,10.95,0.47,2.51,0.4,NaN
20200225,4674.24,4.85,8.65,0.71,1.65,2.3,NaN
20200226,9564.48,-5.95,12.25,0.58,3.16,19.7,NaN
20200227,10920.96,-7.65,-4.35,0.25,8.91,1.5,NaN
20200228,7162.56,-8.95,-1.65,0.24,6.18,0,NaN
20200229,8104.32,-9.05,-3.85,0.23,6.25,0,NaN
20200301,15145.92,-6.95,7.65,0.29,3.38,0.4,NaN
20200302,9555.84,5.95,12.95,0.55,4.31,1.9,NaN
20200303,8786.88,0.65,10.95,0.72,4.67,9,NaN
20200304,14636.16,-3.15,9.45,0.51,5.89,0,NaN
20200305,15629.76,-2.25,9.95,0.43,2.3,0,NaN
20200306,8717.76,-2.55,4.55,0.41,4.96,2.3,NaN
20200307,17763.84,-2.95,3.95,0.35,4.81,0,NaN
20200308,18083.52,-1.85,14.05,0.4,3.66,0,NaN
20200309,18048.96,7.85,18.05,0.55,4.31,0.7,NaN
20200310,6557.76,-0.25,12.75,0.73,5.46,2.4,NaN
20200311,12588.48,0.05,7.15,0.64,1.65,0.9,NaN
20200312,17228.16,4.85,15.45,0.81,3.74,4.5,NaN
20200313,17357.76,-1.15,13.25,0.68,6.82,0,NaN
20200314,14359.68,-0.55,5.75,0.38,2.51,5,NaN
20200315,11517.12,-2.75,7.45,0.46,2.73,0,NaN
20200316,13262.4,-1.45,6.15,0.43,4.45,2.8,NaN
20200317,8121.6,-1.35,7.15,0.62,2.95,0.7,NaN
20200318,17150.4,0.05,12.55,0.65,4.09,30.1,NaN
20200319,16156.8,11.65,17.85,1.09,3.52,6.3,NaN
20200320,13582.08,-1.15,19.35,0.87,6.68,3.6,NaN
20200321,19647.36,-2.15,3.65,0.41,3.38,0,NaN
20200322,18904.32,-1.85,6.05,0.38,4.6,0.7,NaN
20200323,6739.2,0.95,5.85,0.6,3.95,9.7,NaN
20200324,20744.64,1.05,7.85,0.59,2.3,6.6,NaN
20200325,12683.52,0.35,5.85,0.66,2.3,0.8,NaN
20200326,20131.2,1.95,18.25,0.81,3.16,6.7,NaN
20200327,19008,7.75,14.65,0.9,1.65,10.1,NaN
20200328,15768,9.55,17.15,1.14,3.59,21.7,NaN
20200329,17547.84,8.15,23.25,1.14,5.82,0,NaN
20200330,14437.44,2.15,11.25,0.64,5.1,0.3,NaN
20200331,10800,2.55,5.75,0.58,2.59,2.9,NaN
20200401,11041.92,-0.35,7.85,0.55,3.45,0.7,NaN
20200402,20571.84,0.65,10.95,0.46,5.82,0,NaN
20200403,21833.28,1.85,12.65,0.47,5.46,0,NaN
20200404,19051.2,2.45,10.25,0.62,1.8,0,NaN
20200405,13020.48,1.65,16.85,0.8,2.08,0,NaN
20200406,22127.04,3.85,15.85,0.56,1.94,0,NaN
20200407,10143.36,8.95,15.75,0.86,2.73,11,NaN
20200408,18437.76,7.15,16.15,1.01,3.95,9.4,NaN
20200409,16053.12,-1.35,9.25,0.6,6.61,5.2,NaN
20200410,10031.04,-1.75,1.75,0.37,8.05,0.8,NaN
20200411,17392.32,-0.25,9.05,0.42,4.24,0,NaN
20200412,14808.96,4.95,17.15,0.66,4.17,7.1,NaN
20200413,11983.68,0.35,16.45,0.83,7.11,5.4,NaN
20200414,15206.4,-3.05,4.65,0.4,3.74,2,NaN
20200415,22256.64,-3.05,6.15,0.34,4.17,1.2,NaN
20200416,12666.24,-3.25,2.35,0.32,4.67,0,NaN
20200417,15621.12,-0.85,6.55,0.51,3.66,33.2,NaN
20200418,17582.4,-1.35,6.25,0.54,4.31,0,NaN
20200419,21504.96,1.45,11.85,0.57,4.02,0.3,NaN
