## Site Characteristics
Country     = 'USA'
Station     = '253341'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.4319; Latitude = 41.8204; Elevation = 451; AngstromA = 0.2; AngstromB = 0.5; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,7456.32,-6.25,0.15,0.37,4.45,0,NaN
20200102,7395.84,-2.85,6.55,0.45,5.1,0,NaN
20200103,2324.16,2.15,7.55,0.55,1.72,5.1,NaN
20200104,2185.92,-2.95,3.15,0.52,3.02,0,NaN
20200105,5244.48,-3.15,1.25,0.37,4.31,2.7,NaN
20200106,7724.16,-6.65,3.05,0.41,4.81,0,NaN
20200107,7922.88,-5.15,2.35,0.37,2.44,1.5,NaN
20200108,4950.72,-14.45,-3.25,0.25,5.17,0.6,NaN
20200109,7836.48,-14.25,4.85,0.29,4.67,2,NaN
20200110,2583.36,2.15,11.15,0.54,4.81,11.5,NaN
20200111,4112.64,2.35,17.75,0.81,5.96,2.5,NaN
20200112,8458.56,-1.25,2.55,0.56,4.17,0,NaN
20200113,9028.8,-2.65,7.15,0.52,2.87,0,NaN
20200114,8078.4,-2.65,10.25,0.58,3.59,0,NaN
20200115,9210.24,-2.15,7.25,0.52,2.87,2.5,NaN
20200116,6298.56,-9.35,0.25,0.36,6.11,1.9,NaN
20200117,9564.48,-10.35,-4.45,0.15,3.16,0,NaN
20200118,3119.04,-6.35,3.85,0.37,6.32,13.8,NaN
20200119,3196.8,-14.45,-5.95,0.25,5.32,0.4,NaN
20200120,9832.32,-15.75,-5.45,0.21,3.02,0,NaN
20200121,9210.24,-16.15,-4.75,0.22,2.08,0,NaN
20200122,9633.6,-17.35,0.35,0.23,2.59,0,NaN
20200123,9028.8,-12.55,4.45,0.32,2.23,0,NaN
20200124,5909.76,-1.25,7.95,0.47,4.81,14.3,NaN
20200125,2462.4,-0.65,3.15,0.49,3.09,1.9,NaN
20200126,3300.48,-0.65,0.35,0.44,4.17,0.4,NaN
20200127,3654.72,-1.15,0.45,0.43,3.45,0,NaN
20200128,6540.48,-3.25,0.25,0.42,2.87,0,NaN
20200129,11119.68,-11.25,-0.15,0.32,1.8,0,NaN
20200130,10307.52,-11.35,1.75,0.31,1.51,0,NaN
20200131,5641.92,-5.05,1.75,0.41,1.65,0,NaN
20200201,7102.08,-4.05,1.95,0.44,2.01,0.8,NaN
20200202,3620.16,-1.35,4.25,0.45,4.45,1.1,NaN
20200203,9521.28,-0.65,11.35,0.48,2.73,0,NaN
20200204,3715.2,-4.65,9.55,0.51,2.87,0.4,NaN
20200205,6920.64,-5.05,1.25,0.31,3.52,10.1,NaN
20200206,4363.2,-3.95,1.55,0.44,1.72,9.7,NaN
20200207,2695.68,-7.45,-3.35,0.3,4.45,3,NaN
20200208,4795.2,-5.45,-0.45,0.33,2.01,1.4,NaN
20200209,6177.6,-3.15,3.35,0.39,3.59,9.2,NaN
20200210,4034.88,-0.25,3.45,0.46,2.66,0.5,NaN
20200211,5080.32,-4.15,0.85,0.38,2.44,0,NaN
20200212,10843.2,-5.05,1.95,0.36,1.94,9.4,NaN
20200213,3844.8,-12.35,1.35,0.32,3.3,0,NaN
20200214,9987.84,-22.55,-8.05,0.14,2.95,0,NaN
20200215,11784.96,-22.05,0.55,0.18,4.53,0.6,NaN
20200216,10126.08,-8.05,3.95,0.38,2.87,0,NaN
20200217,11828.16,-6.35,5.35,0.36,2.23,4.3,NaN
20200218,4631.04,-2.95,6.25,0.47,4.74,1.3,NaN
20200219,12856.32,-9.35,-1.05,0.29,3.16,0,NaN
20200220,8199.36,-9.05,-4.55,0.22,2.95,0,NaN
20200221,13115.52,-8.25,-0.05,0.22,3.38,0,NaN
20200222,13305.6,-7.15,5.65,0.28,3.95,0,NaN
20200223,13392,-3.85,9.95,0.36,3.81,0,NaN
20200224,11914.56,0.85,10.65,0.45,2.51,2.9,NaN
20200225,5590.08,-3.75,7.35,0.52,2.23,4.1,NaN
20200226,5512.32,-7.35,6.55,0.47,2.3,15,NaN
20200227,9348.48,-8.25,-5.05,0.24,7.9,0.3,NaN
20200228,8933.76,-8.85,-4.25,0.21,5.96,0.4,NaN
20200229,5935.68,-11.65,-4.75,0.25,4.81,3,NaN
20200301,14212.8,-11.45,6.15,0.33,3.59,0.6,NaN
20200302,6592.32,3.05,8.95,0.47,4.38,3.2,NaN
20200303,5892.48,0.25,10.35,0.54,3.3,7.6,NaN
20200304,6618.24,-5.15,4.65,0.46,4.38,3.3,NaN
20200305,16917.12,-4.65,8.65,0.42,2.37,0,NaN
20200306,3360.96,-4.25,5.55,0.41,4.24,0.5,NaN
20200307,17547.84,-2.95,4.15,0.29,3.23,0,NaN
20200308,17496,-2.85,14.95,0.46,4.02,0,NaN
20200309,16856.64,1.15,19.05,0.7,4.45,1.5,NaN
20200310,4881.6,-0.65,11.55,0.68,5.32,5,NaN
20200311,13020.48,-0.85,6.85,0.46,1.65,0,NaN
20200312,13582.08,3.25,16.75,0.73,3.59,3.2,NaN
20200313,17841.6,-2.15,10.85,0.6,6.46,0,NaN
20200314,16485.12,-2.25,5.25,0.35,2.8,0,NaN
20200315,18826.56,-5.95,7.85,0.34,2.66,0,NaN
20200316,15448.32,-5.45,10.65,0.41,4.17,0.5,NaN
20200317,8899.2,-4.35,5.55,0.51,3.3,0.3,NaN
20200318,15517.44,-3.55,11.75,0.56,3.16,13.5,NaN
20200319,16459.2,6.15,17.75,0.97,2.8,5.9,NaN
20200320,11327.04,-3.25,19.55,0.76,6.75,10,NaN
20200321,20165.76,-8.25,2.95,0.26,3.16,0,NaN
20200322,20321.28,-7.25,7.05,0.3,3.52,1.8,NaN
20200323,5106.24,1.05,4.05,0.53,4.24,6.5,NaN
20200324,20208.96,-0.25,5.65,0.5,1.58,0,NaN
20200325,18627.84,0.25,11.25,0.64,2.15,0,NaN
20200326,18403.2,0.55,17.75,0.79,3.23,6.3,NaN
20200327,20424.96,3.55,14.45,0.76,1.58,4.8,NaN
20200328,9175.68,7.05,13.75,0.99,3.74,27.3,NaN
