## Site Characteristics
Country     = 'USA'
Station     = '312955'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -78.7854; Latitude = 40.0373; Elevation = 878.2; AngstromA = 0.23; AngstromB = 0.46; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8000.64,-3.95,2.15,0.35,4.38,0,NaN
20200102,7966.08,-2.15,10.35,0.45,3.52,3.9,NaN
20200103,2963.52,6.65,10.85,0.88,1.65,11.1,NaN
20200104,3386.88,-3.15,7.85,0.59,4.31,1.5,NaN
20200105,8596.8,-3.35,2.25,0.37,4.74,0,NaN
20200106,8398.08,-3.75,2.65,0.38,4.45,0,NaN
20200107,7024.32,-5.95,-0.55,0.3,2.37,4.8,NaN
20200108,5667.84,-11.55,-0.75,0.28,5.82,0,NaN
20200109,8372.16,-11.05,3.15,0.29,3.74,0,NaN
20200110,2617.92,0.75,12.65,0.64,4.24,0.9,NaN
20200111,7119.36,7.55,17.95,1.04,6.03,16.6,NaN
20200112,8821.44,0.05,9.25,0.7,4.24,0,NaN
20200113,8864.64,-0.15,9.35,0.62,1.94,0,NaN
20200114,6384.96,0.25,9.35,0.69,2.87,3.5,NaN
20200115,9408.96,-0.15,12.85,0.62,3.02,1.2,NaN
20200116,8251.2,-7.45,1.85,0.41,6.82,1.4,NaN
20200117,9936,-7.55,-2.95,0.15,3.95,0.5,NaN
20200118,3248.64,-5.65,5.45,0.38,5.89,18.5,NaN
20200119,5235.84,-10.75,-3.65,0.27,5.89,0.4,NaN
20200120,8951.04,-12.15,-5.45,0.21,4.38,0,NaN
20200121,9910.08,-12.35,-4.95,0.24,2.3,0,NaN
20200122,10428.48,-11.55,2.55,0.28,1.29,0,NaN
20200123,9512.64,-6.05,4.25,0.31,2.23,0,NaN
20200124,6246.72,-1.55,4.55,0.49,4.02,34.8,NaN
20200125,5227.2,-0.95,3.35,0.51,2.66,1.4,NaN
20200126,5348.16,-1.35,0.25,0.43,3.45,0,NaN
20200127,3611.52,-1.55,0.25,0.43,3.66,0.3,NaN
20200128,9115.2,-2.45,-0.35,0.41,3.81,0,NaN
20200129,10454.4,-7.85,-0.55,0.37,2.37,0,NaN
20200130,9046.08,-7.65,-0.15,0.33,2.08,0,NaN
20200131,8017.92,-1.95,3.45,0.43,1.87,0,NaN
20200201,4345.92,-1.25,2.15,0.53,1.8,4.4,NaN
20200202,5676.48,-0.75,9.65,0.53,4.96,0.9,NaN
20200203,10817.28,5.35,16.65,0.63,3.52,0.8,NaN
20200204,3948.48,0.05,13.25,0.75,2.73,1.8,NaN
20200205,5279.04,-0.35,4.05,0.5,4.02,0.7,NaN
20200206,5408.64,0.25,7.45,0.71,2.73,15,NaN
20200207,3386.88,-4.95,-0.45,0.45,5.6,4.7,NaN
20200208,6281.28,-5.05,-0.35,0.33,2.66,1.5,NaN
20200209,9002.88,-2.75,5.85,0.41,3.45,7.6,NaN
20200210,3421.44,4.15,9.45,0.58,3.02,4.2,NaN
20200211,4173.12,-1.05,6.85,0.56,3.02,0,NaN
20200212,9884.16,-1.25,7.75,0.43,3.38,16.1,NaN
20200213,4786.56,-6.65,6.55,0.48,4.02,1,NaN
20200214,9408.96,-13.55,-5.25,0.21,3.88,0,NaN
20200215,12372.48,-12.45,1.25,0.21,3.66,0,NaN
20200216,4682.88,-4.25,8.15,0.42,2.44,0,NaN
20200217,12415.68,-3.55,8.45,0.4,2.37,0,NaN
20200218,3749.76,-1.85,7.85,0.59,4.38,5.6,NaN
20200219,13564.8,-6.25,3.75,0.35,4.02,0,NaN
20200220,9322.56,-11.05,-1.15,0.22,3.16,0,NaN
20200221,14031.36,-9.95,0.15,0.17,3.3,0,NaN
20200222,14463.36,-6.25,7.65,0.21,3.59,0,NaN
20200223,14281.92,-4.45,11.55,0.31,3.02,0,NaN
20200224,12899.52,-0.25,11.05,0.47,2.37,0.9,NaN
20200225,4605.12,4.05,8.15,0.72,1.58,2.2,NaN
20200226,9918.72,-4.85,12.05,0.61,3.16,17.6,NaN
20200227,10808.64,-6.75,-4.15,0.25,7.97,0.7,NaN
20200228,6816.96,-8.65,-1.25,0.25,5.32,0,NaN
20200229,8061.12,-8.45,-2.75,0.22,5.67,0,NaN
20200301,15059.52,-6.05,8.25,0.29,2.87,0.5,NaN
20200302,9478.08,4.05,13.95,0.57,3.45,2.5,NaN
20200303,9512.64,1.25,11.35,0.74,4.17,7.7,NaN
20200304,15085.44,-3.05,10.65,0.51,5.24,0.5,NaN
20200305,16493.76,-2.45,10.65,0.43,2.44,0,NaN
20200306,8605.44,-2.65,5.15,0.41,4.6,2,NaN
20200307,17720.64,-3.55,5.15,0.35,4.96,0,NaN
