## Site Characteristics
Country     = 'USA'
Station     = '251955'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.442; Latitude = 41.8506; Elevation = 499.38; AngstromA = 0.21; AngstromB = 0.49; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,7482.24,-6.45,-0.25,0.36,4.53,0,NaN
20200102,7464.96,-2.65,6.15,0.44,5.24,0,NaN
20200103,2358.72,1.75,7.15,0.54,1.8,5.3,NaN
20200104,2177.28,-3.15,2.65,0.5,3.02,0.7,NaN
20200105,5287.68,-3.35,0.95,0.37,4.38,2.6,NaN
20200106,7801.92,-7.05,2.65,0.4,4.96,0,NaN
20200107,7966.08,-5.55,2.05,0.37,2.51,2.8,NaN
20200108,4985.28,-14.75,-3.75,0.25,5.24,0.6,NaN
20200109,7836.48,-14.75,4.65,0.28,4.74,2.1,NaN
20200110,2617.92,2.05,10.65,0.53,4.88,12,NaN
20200111,4138.56,1.95,17.45,0.8,6.03,2.6,NaN
20200112,8544.96,-1.55,2.15,0.54,4.24,0,NaN
20200113,9089.28,-3.25,6.75,0.51,2.87,0,NaN
20200114,8147.52,-3.15,9.95,0.57,3.66,0,NaN
20200115,9244.8,-2.65,6.85,0.5,2.87,2.6,NaN
20200116,6333.12,-9.55,-0.05,0.35,6.18,2.6,NaN
20200117,9642.24,-10.65,-4.85,0.15,3.23,0,NaN
20200118,3188.16,-6.55,3.45,0.36,6.39,14.1,NaN
20200119,3214.08,-15.25,-6.45,0.24,5.46,0.6,NaN
20200120,9927.36,-16.45,-5.85,0.2,3.02,0,NaN
20200121,9305.28,-16.75,-4.95,0.21,2.15,0,NaN
20200122,9771.84,-18.25,-0.15,0.22,2.73,0,NaN
20200123,9106.56,-13.15,4.05,0.31,2.23,0,NaN
20200124,5952.96,-1.65,7.65,0.46,4.74,15.5,NaN
20200125,2445.12,-0.95,2.85,0.48,3.09,2.3,NaN
20200126,3421.44,-0.75,-0.05,0.44,4.24,0.9,NaN
20200127,3784.32,-1.35,0.15,0.42,3.45,0,NaN
20200128,6618.24,-3.45,-0.05,0.41,2.95,0,NaN
20200129,11223.36,-11.45,-0.55,0.31,1.8,0,NaN
20200130,10402.56,-11.75,1.35,0.3,1.44,0,NaN
20200131,5788.8,-5.75,1.25,0.4,1.58,0,NaN
20200201,7119.36,-4.45,1.55,0.43,1.94,1.2,NaN
20200202,3672,-1.55,3.75,0.44,4.45,1.2,NaN
20200203,9659.52,-0.95,10.85,0.47,2.73,0,NaN
20200204,3784.32,-5.05,8.95,0.5,2.87,0.8,NaN
20200205,7162.56,-5.45,0.75,0.3,3.52,10,NaN
20200206,4484.16,-4.25,1.05,0.42,1.87,10.4,NaN
20200207,3015.36,-7.85,-3.85,0.29,4.53,3.5,NaN
20200208,5028.48,-5.65,-0.85,0.32,1.94,1.4,NaN
20200209,6341.76,-3.35,2.95,0.38,3.59,9.5,NaN
20200210,4276.8,-0.45,3.05,0.45,2.59,0.8,NaN
20200211,5279.04,-4.55,0.45,0.38,2.44,0,NaN
20200212,11033.28,-5.45,1.45,0.35,2.01,9.9,NaN
20200213,3939.84,-12.45,0.85,0.32,3.38,0,NaN
20200214,10238.4,-23.15,-8.55,0.14,2.95,0,NaN
20200215,11966.4,-22.85,0.15,0.18,4.6,0.6,NaN
20200216,10488.96,-8.85,3.65,0.37,2.95,0,NaN
20200217,12026.88,-6.85,4.85,0.35,2.23,4.4,NaN
20200218,4795.2,-3.15,5.75,0.45,4.81,0.9,NaN
20200219,13029.12,-9.65,-1.55,0.29,3.3,0,NaN
20200220,8493.12,-9.25,-4.95,0.21,3.02,0,NaN
20200221,13314.24,-8.45,-0.35,0.22,3.52,0,NaN
20200222,13504.32,-7.55,5.35,0.28,4.09,0,NaN
20200223,13599.36,-4.15,9.55,0.36,3.88,0,NaN
20200224,12061.44,0.85,10.15,0.44,2.51,2.9,NaN
20200225,5641.92,-4.65,7.15,0.5,2.3,4.5,NaN
20200226,5555.52,-7.75,6.15,0.46,2.3,15.4,NaN
20200227,9624.96,-8.35,-5.55,0.24,7.97,0.5,NaN
20200228,9089.28,-9.05,-4.65,0.21,6.03,0.6,NaN
20200229,6272.64,-11.85,-5.35,0.25,4.88,3.6,NaN
20200301,14247.36,-12.15,5.55,0.31,3.66,0.5,NaN
20200302,6609.6,2.95,8.35,0.46,4.45,4.3,NaN
20200303,5987.52,0.25,9.95,0.53,3.3,7.9,NaN
20200304,6626.88,-5.25,4.15,0.45,4.38,3.8,NaN
20200305,16951.68,-4.85,8.25,0.41,2.3,0,NaN
20200306,3352.32,-4.45,5.05,0.4,4.24,0.5,NaN
20200307,17565.12,-2.85,3.85,0.28,3.23,0,NaN
20200308,17539.2,-3.45,14.55,0.45,4.09,0,NaN
20200309,16865.28,0.55,18.65,0.69,4.45,2,NaN
20200310,4881.6,-0.75,11.05,0.67,5.32,5.3,NaN
20200311,13063.68,-0.85,6.55,0.45,1.58,0,NaN
20200312,13487.04,3.35,16.35,0.71,3.59,3.8,NaN
20200313,17876.16,-2.25,10.45,0.59,6.54,0,NaN
20200314,16571.52,-2.45,4.75,0.34,2.8,0,NaN
20200315,18878.4,-6.35,7.25,0.33,2.66,0,NaN
20200316,15560.64,-5.85,10.35,0.4,4.17,0.6,NaN
20200317,9080.64,-4.45,4.95,0.5,3.38,0.4,NaN
20200318,15586.56,-3.95,11.15,0.54,3.09,13.7,NaN
20200319,16640.64,6.05,17.25,0.94,2.73,5.6,NaN
20200320,11543.04,-3.35,19.15,0.75,6.82,8.1,NaN
20200321,20226.24,-8.45,2.55,0.25,3.16,0,NaN
20200322,20399.04,-7.55,6.75,0.29,3.52,2,NaN
20200323,5054.4,1.05,3.65,0.51,4.24,7.3,NaN
