## Site Characteristics
Country     = 'USA'
Station     = '301856'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.2151; Latitude = 40.3488; Elevation = 619.02; AngstromA = 0.23; AngstromB = 0.46; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,7948.8,-3.35,2.45,0.38,4.53,0,NaN
20200102,7672.32,-1.15,10.25,0.48,4.02,11.6,NaN
20200103,2773.44,7.35,10.65,0.84,1.08,16.1,NaN
20200104,2747.52,-3.35,7.55,0.58,3.23,4.1,NaN
20200105,7706.88,-3.45,1.65,0.39,4.74,0.4,NaN
20200106,8579.52,-3.25,2.75,0.42,4.74,0,NaN
20200107,7473.6,-3.55,0.05,0.32,2.37,1.7,NaN
20200108,5097.6,-10.95,-0.85,0.29,5.46,0.5,NaN
20200109,8389.44,-11.05,6.75,0.33,3.09,0,NaN
20200110,2721.6,6.35,13.15,0.62,3.88,6.8,NaN
20200111,6497.28,7.35,18.75,1,4.74,6.2,NaN
20200112,8138.88,0.05,8.15,0.69,3.95,0,NaN
20200113,9149.76,-0.25,8.85,0.6,2.23,0,NaN
20200114,7214.4,0.65,10.15,0.71,3.45,0,NaN
20200115,9512.64,0.45,13.15,0.63,2.59,1.5,NaN
20200116,7637.76,-6.85,2.05,0.42,6.18,2.7,NaN
20200117,9815.04,-7.65,-2.45,0.17,3.02,0.9,NaN
20200118,3464.64,-5.25,6.15,0.41,5.39,19.2,NaN
20200119,4380.48,-10.75,-4.25,0.29,5.89,1.9,NaN
20200120,8553.6,-12.45,-5.45,0.24,2.87,0,NaN
20200121,9823.68,-12.95,-5.65,0.24,1.8,0,NaN
20200122,10549.44,-12.85,3.15,0.28,1.29,0,NaN
20200123,9106.56,-4.65,6.15,0.31,1.8,0,NaN
20200124,6186.24,1.45,5.55,0.51,3.45,23.2,NaN
20200125,4622.4,-1.15,4.05,0.55,2.66,3.7,NaN
20200126,4069.44,-1.35,-0.35,0.46,4.24,1.3,NaN
20200127,2687.04,-1.45,-0.35,0.46,3.38,2.1,NaN
20200128,7283.52,-2.45,-0.65,0.44,2.87,1.1,NaN
20200129,10376.64,-6.55,-1.05,0.38,1.87,0,NaN
20200130,8812.8,-6.25,-0.05,0.34,1.58,0,NaN
20200131,7110.72,-1.45,3.75,0.43,1.15,2.3,NaN
20200201,5253.12,-1.15,0.85,0.54,2.08,4.4,NaN
20200202,5503.68,-1.35,9.25,0.57,5.89,1.7,NaN
20200203,10946.88,3.25,15.25,0.65,3.3,2.1,NaN
20200204,3542.4,-1.15,12.95,0.72,3.81,8.3,NaN
20200205,5719.68,-1.15,4.65,0.47,4.17,2.7,NaN
20200206,4898.88,-1.65,9.55,0.69,1.36,18.2,NaN
20200207,3067.2,-5.65,-2.05,0.43,4.96,6.7,NaN
20200208,6384.96,-5.05,-1.45,0.36,2.66,1.1,NaN
20200209,8354.88,-2.65,5.55,0.43,3.23,15.2,NaN
20200210,3758.4,3.75,7.65,0.56,2.95,7,NaN
20200211,4337.28,-2.45,5.05,0.53,2.37,0.8,NaN
20200212,10929.6,-2.85,7.25,0.45,1.8,20.9,NaN
20200213,4129.92,-8.25,3.05,0.44,3.3,2.8,NaN
20200214,9167.04,-13.45,-6.55,0.22,2.95,0,NaN
20200215,12208.32,-12.65,2.75,0.25,2.95,0,NaN
20200216,4440.96,-4.55,5.45,0.45,2.87,0,NaN
20200217,12813.12,-4.05,7.95,0.42,2.15,0,NaN
20200218,3360.96,-2.95,7.85,0.58,3.74,10.9,NaN
20200219,13910.4,-7.05,3.05,0.38,3.09,0,NaN
20200220,7007.04,-11.65,-2.55,0.24,2.73,0,NaN
20200221,14273.28,-11.15,-0.55,0.18,3.02,0,NaN
20200222,14791.68,-7.25,6.35,0.25,4.31,0,NaN
20200223,14601.6,-2.55,10.15,0.35,3.45,0,NaN
20200224,13167.36,0.55,11.05,0.53,1.94,0,NaN
20200225,4466.88,5.15,8.65,0.72,1.15,3,NaN
20200226,7560,-5.45,11.35,0.6,2.44,29.5,NaN
20200227,10376.64,-7.35,-4.85,0.26,8.19,2.8,NaN
20200228,7534.08,-8.35,-2.35,0.25,5.96,0,NaN
20200229,7490.88,-9.05,-3.15,0.25,5.39,0,NaN
20200301,14826.24,-8.05,8.65,0.33,3.02,0,NaN
20200302,9339.84,6.75,13.25,0.59,3.88,7.8,NaN
20200303,7119.36,0.85,10.95,0.74,3.74,10.1,NaN
20200304,12623.04,-2.75,9.85,0.56,4.81,0,NaN
20200305,13392,-2.45,10.75,0.46,1.87,1.3,NaN
20200306,8743.68,-2.15,4.75,0.43,4.45,3.4,NaN
20200307,17297.28,-3.45,4.55,0.38,3.3,0,NaN
20200308,17772.48,-1.65,14.75,0.46,3.38,0,NaN
20200309,17694.72,7.75,17.75,0.62,4.17,1.2,NaN
20200310,6765.12,0.15,12.85,0.76,5.1,4.3,NaN
20200311,11733.12,0.45,7.55,0.66,1.51,0,NaN
20200312,15863.04,5.35,16.65,0.83,2.8,3.5,NaN
