## Site Characteristics
Country     = 'USA'
Station     = '304631'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.1043; Latitude = 40.2821; Elevation = 589.14; AngstromA = 0.23; AngstromB = 0.46; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,7966.08,-3.85,2.35,0.37,5.75,0,NaN
20200102,7689.6,-1.35,10.25,0.47,5.17,11.1,NaN
20200103,2799.36,7.05,10.65,0.84,1.65,18.7,NaN
20200104,2816.64,-3.85,7.85,0.57,3.95,4.4,NaN
20200105,7896.96,-3.85,1.45,0.38,5.82,0.3,NaN
20200106,8596.8,-3.35,2.45,0.41,5.67,0,NaN
20200107,7430.4,-4.25,-0.15,0.31,3.16,2.8,NaN
20200108,5097.6,-11.35,-0.95,0.29,6.75,0.3,NaN
20200109,8372.16,-11.15,6.35,0.32,3.74,0,NaN
20200110,2695.68,5.55,12.95,0.6,5.24,6.5,NaN
20200111,6557.76,7.15,18.45,0.95,5.67,10.2,NaN
20200112,8303.04,0.15,8.05,0.69,4.74,0.8,NaN
20200113,9123.84,-0.15,8.65,0.59,2.73,0,NaN
20200114,7205.76,0.35,10.05,0.7,4.45,0,NaN
20200115,9512.64,0.25,13.35,0.62,3.38,2.2,NaN
20200116,7456.32,-7.45,2.15,0.41,7.47,2.3,NaN
20200117,9936,-7.95,-3.25,0.16,3.52,0.7,NaN
20200118,3499.2,-5.75,6.05,0.41,6.61,21.5,NaN
20200119,4432.32,-11.25,-4.35,0.28,7.11,1.9,NaN
20200120,8519.04,-12.75,-5.85,0.23,3.38,0.4,NaN
20200121,9780.48,-13.25,-6.05,0.24,2.23,0,NaN
20200122,10558.08,-12.55,2.95,0.28,1.51,0,NaN
20200123,9270.72,-4.35,6.15,0.3,2.01,0,NaN
20200124,6186.24,0.65,5.25,0.49,4.45,25.5,NaN
20200125,4656.96,-1.35,4.05,0.52,3.3,3.4,NaN
20200126,4104,-1.85,-0.55,0.45,5.03,1,NaN
20200127,2738.88,-1.85,-0.45,0.45,4.45,1.9,NaN
20200128,7490.88,-3.05,-0.85,0.43,3.81,0.9,NaN
20200129,10661.76,-7.25,-1.45,0.37,2.15,0,NaN
20200130,8812.8,-6.85,-0.35,0.34,2.01,0,NaN
20200131,7292.16,-2.25,3.75,0.43,1.44,1.2,NaN
20200201,5313.6,-1.55,1.25,0.52,2.59,5.5,NaN
20200202,5581.44,-1.75,9.15,0.55,7.4,1.6,NaN
