## Site Characteristics
Country     = 'USA'
Station     = '312952'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -78.8851; Latitude = 40.0265; Elevation = 713.13; AngstromA = 0.22; AngstromB = 0.47; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8000.64,-4.15,0.65,0.33,5.17,0,NaN
20200102,7974.72,-1.75,10.35,0.43,4.17,4.7,NaN
20200103,2998.08,6.65,10.65,0.83,1.8,13.2,NaN
20200104,3274.56,-3.85,7.35,0.56,4.45,1.6,NaN
20200105,8631.36,-4.45,1.05,0.35,5.32,0,NaN
20200106,8519.04,-4.45,1.35,0.36,5.1,0,NaN
20200107,7136.64,-6.45,-0.85,0.28,2.87,4.6,NaN
20200108,5564.16,-12.45,-1.85,0.27,6.46,0,NaN
20200109,8415.36,-12.55,3.95,0.29,3.81,0,NaN
20200110,2635.2,1.85,12.45,0.58,4.6,1.9,NaN
20200111,7119.36,6.65,16.95,0.93,6.11,15,NaN
20200112,8838.72,-0.75,7.35,0.65,4.6,0,NaN
20200113,9011.52,-0.95,8.45,0.58,2.3,0,NaN
20200114,6773.76,-0.65,9.85,0.66,3.52,1.6,NaN
20200115,9529.92,-0.75,12.75,0.59,3.3,1.3,NaN
20200116,8303.04,-8.35,0.75,0.38,7.4,1.3,NaN
20200117,10056.96,-8.75,-4.55,0.15,3.88,0.3,NaN
20200118,3335.04,-6.75,5.25,0.37,6.32,21.6,NaN
20200119,5149.44,-12.05,-4.55,0.25,6.68,0.3,NaN
20200120,8916.48,-13.65,-6.35,0.2,4.24,0,NaN
20200121,9927.36,-14.35,-6.95,0.22,2.37,0,NaN
20200122,10575.36,-13.15,1.65,0.26,1.29,0,NaN
20200123,9573.12,-6.35,5.15,0.28,2.3,0,NaN
20200124,6333.12,-1.35,3.45,0.47,4.53,24.8,NaN
20200125,5218.56,-1.65,2.45,0.48,3.02,1.2,NaN
20200126,5184,-2.35,-0.55,0.41,4.24,0,NaN
20200127,3490.56,-2.25,-0.55,0.41,4.24,0.6,NaN
20200128,8994.24,-3.35,-1.25,0.39,4.02,0.6,NaN
20200129,10730.88,-9.45,-2.05,0.33,2.3,0,NaN
20200130,8951.04,-8.95,-0.95,0.32,2.08,0,NaN
20200131,8000.64,-2.65,3.35,0.4,1.8,0,NaN
20200201,4821.12,-1.95,1.95,0.48,2.15,3.7,NaN
20200202,6004.8,-2.45,9.05,0.5,6.25,1.3,NaN
20200203,11344.32,3.75,15.75,0.59,4.02,0.9,NaN
20200204,4052.16,-1.85,12.65,0.68,3.45,1.2,NaN
20200205,5780.16,-1.95,2.95,0.47,4.38,0.5,NaN
20200206,5607.36,-1.55,8.95,0.67,2.8,14.7,NaN
20200207,3447.36,-6.35,-0.85,0.41,5.96,3.9,NaN
20200208,6652.8,-6.15,-0.95,0.31,3.09,1.1,NaN
20200209,9417.6,-4.05,5.75,0.38,3.74,10.4,NaN
20200210,3637.44,3.95,8.75,0.53,3.38,4.7,NaN
20200211,4371.84,-2.65,6.35,0.51,3.3,0,NaN
20200212,10445.76,-3.15,7.65,0.41,3.3,14.1,NaN
20200213,4821.12,-8.75,5.95,0.43,4.31,1.2,NaN
20200214,9797.76,-14.65,-6.35,0.19,3.88,0,NaN
20200215,12882.24,-13.85,1.45,0.21,3.52,0,NaN
20200216,4890.24,-4.35,6.95,0.39,3.09,0,NaN
20200217,13011.84,-4.25,8.15,0.37,2.59,0,NaN
20200218,3827.52,-3.55,7.65,0.54,4.6,6.8,NaN
20200219,14238.72,-7.65,3.25,0.34,4.24,0,NaN
20200220,9469.44,-12.75,-1.85,0.21,3.23,0,NaN
20200221,14713.92,-11.65,-0.75,0.16,3.59,0,NaN
20200222,15163.2,-6.45,6.85,0.2,4.53,0,NaN
20200223,14964.48,-3.35,10.95,0.28,3.59,0,NaN
20200224,13478.4,0.55,10.65,0.44,2.51,0.7,NaN
20200225,4561.92,3.45,8.25,0.67,1.65,2.5,NaN
20200226,10143.36,-6.85,12.25,0.55,3.09,17.5,NaN
20200227,11309.76,-8.45,-4.55,0.24,8.91,1,NaN
20200228,7136.64,-10.15,-1.65,0.23,6.18,0,NaN
20200229,8320.32,-9.85,-3.95,0.21,6.32,0.4,NaN
20200301,14938.56,-7.65,7.05,0.28,3.3,0.5,NaN
20200302,9279.36,5.05,12.65,0.53,4.17,2,NaN
20200303,8760.96,0.05,10.65,0.69,4.67,8.5,NaN
20200304,14610.24,-3.95,9.05,0.49,5.96,0.3,NaN
20200305,15880.32,-3.15,9.35,0.4,2.3,0,NaN
20200306,8683.2,-3.35,3.95,0.39,5.03,1.8,NaN
20200307,17556.48,-3.75,3.35,0.33,4.88,0,NaN
20200308,17919.36,-2.55,13.65,0.38,3.52,0,NaN
20200309,17884.8,6.75,17.65,0.52,4.24,0.7,NaN
20200310,6333.12,-0.75,12.25,0.71,5.32,2.4,NaN
20200311,12536.64,-0.55,7.15,0.62,1.65,0.5,NaN
20200312,17271.36,3.75,15.35,0.79,3.66,4.6,NaN
20200313,17297.28,-1.75,12.95,0.65,6.75,0,NaN
20200314,14040,-1.25,5.35,0.36,2.44,5.9,NaN
20200315,10964.16,-3.45,6.95,0.44,2.66,0,NaN
20200316,13193.28,-2.45,5.85,0.42,4.38,2.6,NaN
20200317,8078.4,-2.15,6.95,0.59,2.87,0.3,NaN
20200318,17029.44,-0.65,12.45,0.64,4.02,28.8,NaN
20200319,16320.96,10.95,17.55,1.05,3.45,4.9,NaN
20200320,13616.64,-1.65,18.95,0.83,6.61,2.9,NaN
20200321,19673.28,-2.65,3.25,0.39,3.3,0,NaN
20200322,19301.76,-2.25,5.75,0.36,4.6,0.6,NaN
20200323,6886.08,0.25,5.65,0.58,3.88,9.4,NaN
20200324,20545.92,0.35,7.65,0.56,2.3,7.7,NaN
20200325,12536.64,-0.05,5.65,0.63,2.3,1.1,NaN
20200326,19880.64,1.25,18.25,0.77,3.09,6.6,NaN
20200327,18705.6,7.05,14.55,0.87,1.65,10.6,NaN
20200328,15940.8,8.95,17.15,1.11,3.52,21.9,NaN
20200329,17772.48,7.35,23.05,1.1,5.75,0,NaN
20200330,14878.08,1.45,11.25,0.61,5.17,0.3,NaN
20200331,10860.48,1.55,5.75,0.56,2.59,3.8,NaN
20200401,10808.64,-0.75,7.85,0.53,3.45,0.9,NaN
20200402,20545.92,0.05,10.95,0.44,5.89,0,NaN
20200403,21695.04,0.95,12.75,0.45,5.53,0,NaN
20200404,19059.84,1.15,10.45,0.6,1.87,0,NaN
