## Site Characteristics
Country     = 'USA'
Station     = '253340'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -79.4637; Latitude = 41.8277; Elevation = 448.14; AngstromA = 0.2; AngstromB = 0.5; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,7637.76,-6.35,0.15,0.36,4.45,0,NaN
20200102,7516.8,-3.35,6.45,0.45,5.17,0,NaN
20200103,2358.72,1.85,7.35,0.55,1.72,5.7,NaN
20200104,2194.56,-3.15,2.85,0.52,3.02,0.6,NaN
20200105,5400,-3.35,1.15,0.37,4.31,2.6,NaN
20200106,7948.8,-6.65,2.95,0.41,4.81,0,NaN
20200107,8000.64,-5.35,2.45,0.37,2.44,1.6,NaN
20200108,5054.4,-14.45,-3.45,0.25,5.17,0.5,NaN
20200109,7940.16,-14.25,4.95,0.29,4.67,1.9,NaN
20200110,2626.56,1.85,11.15,0.55,4.88,11.5,NaN
20200111,4224.96,1.95,17.75,0.83,6.03,2.9,NaN
20200112,8596.8,-1.55,2.35,0.55,4.17,0,NaN
20200113,9192.96,-3.15,6.85,0.52,2.87,0,NaN
20200114,8303.04,-3.15,10.15,0.57,3.59,0,NaN
20200115,9365.76,-2.55,7.15,0.52,2.95,2.2,NaN
20200116,6410.88,-9.25,0.15,0.36,6.18,2.6,NaN
20200117,9720,-10.25,-4.55,0.15,3.16,0,NaN
20200118,3170.88,-6.45,3.65,0.37,6.39,14.4,NaN
20200119,3231.36,-14.85,-6.25,0.25,5.39,0.6,NaN
20200120,10039.68,-16.05,-5.45,0.21,3.02,0,NaN
20200121,9408.96,-16.55,-4.75,0.22,2.08,0,NaN
20200122,9806.4,-17.55,0.15,0.23,2.59,0,NaN
20200123,9141.12,-12.65,4.25,0.31,2.23,0,NaN
20200124,5918.4,-1.45,7.65,0.47,4.81,14.9,NaN
20200125,2522.88,-0.95,3.15,0.49,3.09,2.2,NaN
20200126,3473.28,-0.85,0.25,0.44,4.17,1.1,NaN
20200127,3758.4,-1.25,0.35,0.43,3.45,0,NaN
20200128,6661.44,-3.45,0.05,0.42,2.87,0,NaN
20200129,11292.48,-11.15,-0.35,0.32,1.8,0,NaN
20200130,10480.32,-11.45,1.55,0.31,1.44,0,NaN
20200131,5762.88,-5.75,1.65,0.41,1.65,0,NaN
20200201,7102.08,-4.55,1.95,0.44,2.01,1.3,NaN
20200202,3697.92,-1.75,4.35,0.45,4.45,1.3,NaN
20200203,9590.4,-1.15,11.35,0.49,2.73,0,NaN
20200204,3723.84,-4.75,9.35,0.51,2.95,0.5,NaN
20200205,7007.04,-5.05,1.15,0.3,3.59,9.7,NaN
20200206,4389.12,-4.25,1.35,0.43,1.8,10.7,NaN
20200207,2712.96,-7.35,-3.35,0.3,4.45,3,NaN
20200208,4829.76,-5.65,-0.45,0.33,2.01,1.4,NaN
20200209,6168.96,-3.55,3.35,0.38,3.66,9.3,NaN
20200210,4121.28,-0.65,3.25,0.45,2.66,0.8,NaN
20200211,5132.16,-4.45,0.75,0.38,2.44,0,NaN
20200212,10912.32,-5.45,1.75,0.36,1.94,9.5,NaN
20200213,3827.52,-12.25,1.25,0.32,3.38,0,NaN
20200214,10065.6,-22.25,-7.95,0.14,2.95,0,NaN
20200215,11819.52,-22.05,0.45,0.18,4.53,0.5,NaN
20200216,10272.96,-8.65,4.05,0.37,2.87,0,NaN
20200217,11897.28,-6.95,5.25,0.36,2.23,3.9,NaN
20200218,4734.72,-3.05,6.35,0.46,4.74,1.1,NaN
20200219,12934.08,-9.45,-1.25,0.29,3.23,0,NaN
20200220,8320.32,-9.25,-4.65,0.22,3.02,0,NaN
20200221,13201.92,-8.35,-0.15,0.22,3.38,0,NaN
20200222,13392,-7.75,5.75,0.29,3.95,0,NaN
20200223,13478.4,-4.25,9.85,0.36,3.88,0,NaN
20200224,11914.56,0.75,10.55,0.45,2.51,2.6,NaN
20200225,5598.72,-4.55,7.95,0.51,2.23,4.1,NaN
20200226,5512.32,-7.75,6.55,0.47,2.3,14.9,NaN
20200227,9599.04,-8.35,-5.15,0.24,7.9,0.5,NaN
20200228,9028.8,-8.85,-4.25,0.21,5.96,0,NaN
20200229,6143.04,-12.25,-4.75,0.25,4.81,2.8,NaN
20200301,14074.56,-12.85,6.15,0.31,3.66,0.6,NaN
20200302,6523.2,2.95,8.65,0.47,4.38,3.5,NaN
20200303,5901.12,-0.05,10.35,0.54,3.3,7.7,NaN
20200304,6557.76,-5.25,4.65,0.46,4.38,3.1,NaN
20200305,16882.56,-4.75,8.75,0.41,2.37,0,NaN
20200306,3343.68,-4.15,5.55,0.41,4.24,0.4,NaN
20200307,17470.08,-3.05,4.05,0.29,3.23,0,NaN
20200308,17478.72,-3.35,14.85,0.46,4.09,0,NaN
20200309,16787.52,0.55,19.05,0.71,4.45,1.7,NaN
20200310,4933.44,-0.75,11.55,0.68,5.32,5.1,NaN
20200311,12890.88,-0.75,6.85,0.46,1.65,0,NaN
20200312,13564.8,3.15,16.75,0.73,3.59,3.4,NaN
20200313,17858.88,-2.55,10.75,0.59,6.46,0,NaN
20200314,16441.92,-2.55,5.05,0.35,2.8,0,NaN
20200315,18809.28,-6.05,7.95,0.34,2.66,0,NaN
20200316,15387.84,-5.55,10.65,0.41,4.17,0.5,NaN
20200317,9141.12,-4.55,5.35,0.5,3.3,0.3,NaN
20200318,15439.68,-3.95,11.75,0.55,3.16,13.6,NaN
20200319,16536.96,6.05,17.85,0.97,2.8,5.8,NaN
20200320,11534.4,-3.15,19.55,0.77,6.75,10.3,NaN
20200321,20113.92,-8.15,2.65,0.25,3.16,0,NaN
20200322,20286.72,-7.55,7.15,0.3,3.52,1.8,NaN
20200323,5045.76,1.05,4.25,0.53,4.24,7.3,NaN
20200324,20183.04,-0.25,5.65,0.5,1.58,0.3,NaN
20200325,18653.76,0.25,11.45,0.64,2.15,0,NaN
20200326,18394.56,0.45,17.75,0.79,3.23,6.3,NaN
20200327,20338.56,3.45,14.25,0.75,1.58,4.7,NaN
20200328,9184.32,7.45,14.15,0.98,3.66,26.5,NaN
20200329,14497.92,6.25,23.35,1.12,6.46,1.9,NaN
20200330,4777.92,2.15,7.35,0.61,3.66,2.3,NaN
20200331,9054.72,2.05,7.75,0.58,1.8,0.5,NaN
20200401,14135.04,-2.55,9.75,0.51,3.16,0,NaN
20200402,21003.84,-1.35,11.35,0.45,4.17,0,NaN
20200403,21530.88,-0.45,11.15,0.46,3.88,0,NaN
20200404,18774.72,3.45,15.45,0.61,1.15,0,NaN
20200405,20476.8,-2.55,14.35,0.65,2.37,0,NaN
20200406,22127.04,-2.25,16.35,0.51,1.44,0,NaN
20200407,12977.28,2.45,17.15,0.82,2.08,8.7,NaN
20200408,21876.48,4.25,17.05,0.89,3.09,0,NaN
20200409,16571.52,-1.75,9.55,0.52,5.75,5.3,NaN
20200410,9365.76,-2.05,3.45,0.38,6.32,1.8,NaN
20200411,16701.12,-1.95,10.05,0.43,3.38,0,NaN
20200412,10506.24,0.75,18.65,0.68,4.38,6.6,NaN
20200413,11517.12,-0.75,15.35,0.75,6.82,17.7,NaN
20200414,17046.72,-4.95,6.75,0.36,3.66,0.5,NaN
