## Site Characteristics
Country     = 'USA'
Station     = '301885'
Description = ''
Source      = 'gridMET'
Contact     = ''
Longitude = -78.0181; Latitude = 40.3593; Elevation = 394.73; AngstromA = 0.23; AngstromB = 0.47; HasSunshine = False
## Daily weather observations
DAY,IRRAD,TMIN,TMAX,VAP,WIND,RAIN,SNOWDEPTH
20200101,8017.92,0.05,4.05,0.34,4.74,0,NaN
20200102,8251.2,0.25,8.95,0.42,3.3,2.3,NaN
20200103,2773.44,3.85,9.35,0.74,1.44,7,NaN
20200104,3646.08,-1.05,10.75,0.66,4.17,1,NaN
20200105,7344,-1.35,3.35,0.37,4.88,0,NaN
20200106,8579.52,-1.55,5.65,0.39,5.46,0,NaN
20200107,7128,-4.55,1.35,0.32,2.51,4.2,NaN
20200108,6091.2,-9.85,0.65,0.28,6.54,0,NaN
20200109,8493.12,-9.55,0.45,0.22,4.17,0,NaN
20200110,2972.16,-1.35,10.75,0.59,3.95,0,NaN
20200111,6480,5.35,18.35,1.05,5.6,14.8,NaN
20200112,8415.36,-1.05,10.15,0.69,4.74,0,NaN
20200113,8864.64,-1.35,8.15,0.61,2.3,0,NaN
20200114,6765.12,0.05,6.15,0.65,3.16,2.2,NaN
20200115,9478.08,-0.05,11.45,0.58,3.3,0,NaN
20200116,7274.88,-6.35,4.05,0.43,7.11,0.8,NaN
20200117,9987.84,-6.85,-2.15,0.16,4.09,0.4,NaN
20200118,3576.96,-6.15,2.25,0.34,5.96,9.3,NaN
20200119,5123.52,-7.65,1.15,0.33,6.32,0.3,NaN
20200120,9037.44,-9.95,-3.25,0.22,4.17,0,NaN
20200121,10065.6,-10.45,-1.45,0.26,2.59,0,NaN
20200122,10497.6,-9.95,1.45,0.3,1.65,0,NaN
20200123,9815.04,-5.45,1.95,0.34,2.23,0,NaN
20200124,7966.08,-3.75,4.85,0.48,4.31,23.6,NaN
20200125,3559.68,0.65,5.75,0.52,2.95,1.8,NaN
20200126,5719.68,0.75,2.15,0.44,4.02,0,NaN
20200127,3706.56,0.75,2.85,0.44,4.31,0,NaN
20200128,8363.52,-0.65,2.75,0.42,4.09,0,NaN
20200129,10730.88,-6.75,2.05,0.38,2.66,0,NaN
