"grid.ids","date","etr","pet","pr","rmax","rmin","sph","srad","th","tmax","tmin","vpd","vs"
289440,2020-01-01,1.5,0.9,0,90.7,50.8,0.00229,76.4,274,1.95,-6.55,0.18,5.5
289440,2020-01-02,1.9,1.1,0.8,94.8,40.4,0.00272,99.9,196,7.35,-4.85,0.29,3.8
289440,2020-01-03,1,0.7,7.3,71.6,57.6,0.00384,29.5,210,7.65,3.85,0.32,1.2
289440,2020-01-04,1.6,1.1,0,100,55.5,0.00443,45.2,307,10.25,0.35,0.23,4.4
289440,2020-01-05,1.9,1.2,0.9,70.3,52.7,0.00251,65.9,294,2.75,-1.85,0.24,5.5
289440,2020-01-06,2.5,1.6,0,80,40.3,0.00266,88.7,267,7.05,-2.85,0.33,5.8
289440,2020-01-07,1,0.6,8,100,49.8,0.00247,91.1,240,3.25,-6.85,0.18,2.4
289440,2020-01-08,1.5,0.9,0,100,46.7,0.00193,79.6,284,0.65,-11.05,0.15,7.6
289440,2020-01-09,1.4,0.9,0,85.6,39.6,0.0015,103.3,162,-0.75,-11.25,0.18,4.5
289440,2020-01-10,1.9,1.2,0,87.3,50.1,0.00324,41.2,179,7.05,-1.35,0.26,4.5
289440,2020-01-11,5,3.1,14.5,81.6,33.1,0.00483,61,180,18.75,5.25,0.76,6.3
289440,2020-01-12,2.2,1.4,0,100,48.3,0.00528,95.4,258,14.85,-2.15,0.27,6.5
289440,2020-01-13,0.9,0.6,0,100,63.2,0.00399,100.4,193,6.95,-1.95,0.13,2.7
289440,2020-01-14,0.8,0.6,0,100,69.8,0.00394,76.5,166,5.45,-0.95,0.11,3.4
289440,2020-01-15,2,1.2,0,88.7,45.8,0.00354,110.1,217,9.55,-0.35,0.33,3.5
289440,2020-01-16,2.2,1.4,0,100,44.1,0.00273,79.6,305,6.25,-6.75,0.23,8.4
289440,2020-01-17,2.1,1.3,0,46.3,31.6,0.00099,116.6,342,-3.65,-8.55,0.24,5.8
289440,2020-01-18,1.6,1,7.4,88.9,47.8,0.00203,46.5,175,1.05,-7.85,0.18,6.2
289440,2020-01-19,0.9,0.6,0,100,59.8,0.00244,61.1,289,0.75,-9.05,0.09,6.9
289440,2020-01-20,1.4,0.9,0,79.5,41.9,0.00137,119.7,336,-2.65,-11.45,0.16,5.2
289440,2020-01-21,1.1,0.7,0,94.3,44.1,0.00164,115.7,316,-0.85,-11.35,0.16,3.1
289440,2020-01-22,0.9,0.6,0,100,43.5,0.00196,116.7,246,1.75,-11.05,0.17,1.7
289440,2020-01-23,1,0.7,0,100,45.1,0.00216,118,146,2.65,-9.35,0.18,2.1
289440,2020-01-24,2.3,1.5,21.9,87.5,38.8,0.00287,104.4,116,8.65,-3.05,0.35,4
289440,2020-01-25,1.3,0.9,6.4,86.9,64.2,0.00342,36.4,114,4.55,-0.55,0.17,4.4
289440,2020-01-26,1.8,1.2,0,72.7,60.2,0.00309,60.3,262,3.95,0.55,0.23,4.6
289440,2020-01-27,1.9,1.2,0,70.3,58.4,0.00307,45.5,284,4.25,0.95,0.25,4.6
289440,2020-01-28,1.9,1.2,0,69.4,57.6,0.00278,85,315,3.05,-0.25,0.24,4.8
289440,2020-01-29,1.5,1,0,100,44.7,0.0023,129.6,347,3.65,-8.65,0.19,3.8
289440,2020-01-30,1.5,1,0,74.7,35.6,0.00165,126.3,134,1.85,-8.25,0.25,2.6
289440,2020-01-31,1.6,1.1,1,68,48.9,0.00257,69.6,155,4.05,-1.05,0.28,2.6
289440,2020-02-01,0.9,0.7,0,84.9,68.2,0.00342,58.5,203,3.65,-0.25,0.15,1.8
289440,2020-02-02,2.1,1.4,1,81.7,52.1,0.00341,51.3,257,7.15,0.25,0.28,4.8
289440,2020-02-03,3.9,2.5,0,78.9,30.1,0.00366,126.2,260,15.45,1.75,0.64,4.4
289440,2020-02-04,2.4,1.6,2.6,100,38.4,0.00455,47.6,284,15.55,0.45,0.48,2.9
289440,2020-02-05,1.9,1.2,1.5,67.4,56.2,0.00261,57.7,40,2.35,-0.75,0.24,4.7
289440,2020-02-06,1.3,0.9,11.3,83.5,66.5,0.00369,56.4,142,5.05,1.05,0.18,3.2
289440,2020-02-07,1.3,0.8,17.8,100,59.6,0.00324,35,286,4.65,-4.35,0.13,7
289440,2020-02-08,1.9,1.3,0.3,70,42.5,0.00213,63.9,254,3.05,-4.05,0.27,3.8
289440,2020-02-09,1.8,1.2,0.9,80.5,48.8,0.00276,85.6,181,4.95,-2.45,0.25,3.7
289440,2020-02-10,1.7,1.1,1.5,74.2,61.7,0.00377,40.4,195,6.35,3.05,0.26,3.7
289440,2020-02-11,1.4,1,0.5,98.4,59.5,0.0038,60.8,302,6.95,-0.85,0.18,3.7
289440,2020-02-12,2.4,1.6,7.2,67.9,43.4,0.00261,136.4,213,5.65,-0.85,0.33,4
289440,2020-02-13,1.1,0.8,1.3,100,59.4,0.00349,75.3,270,5.75,-5.05,0.11,5.2
289440,2020-02-14,1.5,1,0,92,39.3,0.00128,127.1,325,-2.95,-14.15,0.15,5.7
289440,2020-02-15,1.9,1.3,0,70.6,26,0.00102,154.1,180,-1.25,-13.65,0.22,4.2
289440,2020-02-16,1.5,1,0,85.7,47.6,0.00246,62.3,214,3.65,-4.85,0.22,2.8
289440,2020-02-17,2.2,1.5,0,83.7,32.2,0.00242,151.3,40,8.35,-4.75,0.38,2.5
