"grid.ids","date","etr","pet","pr","rmax","rmin","sph","srad","th","tmax","tmin","vpd","vs"
269971,2020-01-01,1.4,0.9,0,88.1,55.5,0.00247,84.4,244,1.55,-5.75,0.16,5.8
269971,2020-01-02,2.3,1.4,1.6,91.1,42.1,0.0029,83.1,199,7.45,-4.05,0.29,6
269971,2020-01-03,1.3,0.8,10.2,78.1,52.3,0.00382,24.8,179,8.55,1.85,0.31,2
269971,2020-01-04,0.8,0.6,1.1,100,66.8,0.00366,25.6,310,4.65,-2.85,0.11,4.4
269971,2020-01-05,1.7,1.1,0.7,71.2,57.6,0.00261,70.1,254,1.85,-2.15,0.21,6
269971,2020-01-06,1.8,1.1,0,85.7,51.4,0.00273,93.4,251,3.95,-4.05,0.21,6.5
269971,2020-01-07,1.4,0.9,2.6,75.3,50.7,0.00249,85.6,223,2.85,-3.55,0.22,3.1
269971,2020-01-08,0.9,0.6,1,100,56.7,0.00185,66.3,285,-2.65,-11.95,0.09,7.2
269971,2020-01-09,2.3,1.4,0.3,100,29.6,0.00178,86.5,152,4.95,-11.75,0.28,5.5
269971,2020-01-10,2.9,1.8,11.7,92,42.3,0.00387,29.6,191,11.65,-0.25,0.39,5.9
269971,2020-01-11,4.1,2.5,2.5,100,40.8,0.00587,52.2,181,18.55,2.45,0.52,7.8
269971,2020-01-12,0.6,0.5,0,98,81.5,0.00406,90.1,254,3.45,-0.45,0.06,5.6
269971,2020-01-13,1.5,1,0,94.3,51.3,0.00348,101.9,209,7.45,-2.05,0.24,3.6
269971,2020-01-14,1.8,1.2,0,100,49.8,0.00407,94.3,219,10.15,-1.95,0.25,4.8
269971,2020-01-15,1.7,1.1,2.9,93.2,48.5,0.00354,104.6,197,8.45,-1.65,0.28,3.7
269971,2020-01-16,1,0.7,4.7,100,63.7,0.00263,63.2,303,0.65,-7.15,0.09,8.5
269971,2020-01-17,1.7,1.1,0.5,50.6,37.9,0.00124,99.9,5,-3.05,-7.55,0.23,4.2
269971,2020-01-18,2,1.3,13.8,100,45.7,0.00259,35.5,184,4.75,-7.05,0.21,8.3
269971,2020-01-19,0.1,0.1,0.9,100,81.1,0.002,40.8,278,-6.05,-13.55,0,7.3
269971,2020-01-20,0.8,0.6,0,100,52.2,0.00154,109.4,333,-4.05,-13.45,0.1,4.1
269971,2020-01-21,0.6,0.4,0,100,57.8,0.00162,109,273,-4.65,-13.65,0.07,2.8
269971,2020-01-22,0.9,0.6,0,100,45.1,0.00187,112.1,181,0.35,-13.55,0.13,2.9
269971,2020-01-23,1.3,0.9,0,100,40.9,0.00234,100.7,138,4.75,-10.15,0.21,2.9
269971,2020-01-24,2.3,1.4,21.9,76.1,51.7,0.00318,60.3,128,6.05,-0.35,0.27,6
269971,2020-01-25,1.3,0.9,3.1,79.2,64.2,0.00338,36.4,202,4.05,-0.05,0.19,3.7
269971,2020-01-26,1.3,0.9,1.3,75.2,75.2,0.00303,52,246,0.45,-0.15,0.15,5.6
269971,2020-01-27,1.2,0.8,2.1,73,73,0.00301,36,289,0.75,-0.35,0.15,4.6
