"grid.ids","date","etr","pet","pr","rmax","rmin","sph","srad","th","tmax","tmin","vpd","vs"
172562,2020-01-01,1.8,1.1,0,64.5,56.3,0.00215,68.1,209,1.15,-4.05,0.23,5.5
172562,2020-01-02,1.1,0.6,0,70.4,70.4,0.00258,77.3,261,0.45,-2.35,0.17,3.5
172562,2020-01-03,0.8,0.5,3.8,100,58.9,0.00224,39,299,1.05,-11.85,0.11,3.9
172562,2020-01-04,1.9,1.1,0,88.9,38.6,0.00175,83.3,212,3.85,-10.75,0.27,4.4
172562,2020-01-05,1.5,0.9,0,89.7,59,0.00248,90.5,279,2.45,-6.35,0.17,6.7
172562,2020-01-06,1.5,0.9,0,79.3,51,0.00201,83,236,1.65,-7.55,0.21,4.9
172562,2020-01-07,0.8,0.5,0,100,51.7,0.00152,62.7,299,-2.35,-17.65,0.1,3.7
172562,2020-01-08,1.6,0.9,0,66.5,33.1,0.00085,76.3,116,-3.75,-16.25,0.19,5
172562,2020-01-09,0.8,0.5,0,100,54.5,0.00162,69.9,240,-2.25,-13.65,0.11,3.3
172562,2020-01-10,0.1,0.1,1.5,100,72.6,0.00094,62.9,356,-13.05,-23.85,0.01,4.6
172562,2020-01-11,0.5,0.3,0,79.2,46.4,0.00052,99.2,30,-14.55,-23.95,0.06,2.9
172562,2020-01-12,0.7,0.4,2.9,87.5,58.5,0.00123,88.1,131,-6.85,-14.95,0.09,3.7
172562,2020-01-13,0.7,0.5,0,97.8,66.7,0.00214,85.5,147,-1.35,-9.35,0.1,4
172562,2020-01-14,0.6,0.4,0,86.6,61.2,0.00129,91.8,310,-6.85,-14.25,0.08,3
172562,2020-01-15,0.1,0.1,0,100,70.5,0.00089,89.6,334,-13.35,-25.45,0.01,4.1
172562,2020-01-16,0.7,0.4,0,81.1,31,0.00047,102.1,165,-10.45,-25.35,0.1,2.8
172562,2020-01-17,1,0.6,12.9,100,54.1,0.00148,58.1,149,-3.35,-16.05,0.1,7.3
172562,2020-01-18,0,0,0,100,98.8,0.00106,83.6,299,-15.45,-21.95,0,8.6
172562,2020-01-19,0.3,0.2,0,84.9,71.9,0.00064,82.7,309,-17.55,-22.35,0.03,4.6
172562,2020-01-20,0.4,0.3,0,91.8,57.5,0.00069,98.2,256,-13.85,-22.35,0.05,2.9
172562,2020-01-21,2.3,1.4,0,83.6,32.8,0.00114,102,199,0.35,-15.35,0.23,8.3
172562,2020-01-22,0.8,0.5,0,97.3,73.2,0.00287,86.1,199,1.35,-5.45,0.1,4.6
172562,2020-01-23,0.3,0.2,0,100,91.5,0.00288,69.7,22,-1.75,-5.85,0.02,3
172562,2020-01-24,0.8,0.5,0,77.2,77.2,0.00231,80.1,345,-2.35,-4.75,0.11,3.2
172562,2020-01-25,0.8,0.6,0,77.1,55.1,0.00165,106.3,266,-2.15,-9.75,0.15,2.2
172562,2020-01-26,1.3,0.8,0,72.1,51,0.00204,80.4,250,1.85,-6.15,0.23,2.5
172562,2020-01-27,0.2,0.2,0,100,92.4,0.00215,101.3,350,-5.75,-11.05,0,2.6
172562,2020-01-28,0.2,0.2,0,100,99.7,0.00204,100.9,235,-7.45,-10.85,0,1.7
172562,2020-01-29,0.4,0.3,0,87.1,80.1,0.00187,115.3,177,-5.65,-9.65,0.06,1.8
172562,2020-01-30,1.1,0.8,0,80,60,0.00217,83.4,177,0.35,-6.65,0.16,3.3
172562,2020-01-31,1.1,0.7,0,65.8,63.6,0.00229,96.8,236,0.25,-3.45,0.19,2.4
172562,2020-02-01,2.5,1.5,0,76.3,48.4,0.00261,77.9,229,5.95,-3.45,0.3,6
172562,2020-02-02,1.8,1.1,0,94.6,57.2,0.00317,109.3,285,6.25,-3.65,0.22,5.2
172562,2020-02-03,0.5,0.3,0,100,70.9,0.0021,78.3,11,-2.55,-13.45,0.04,6.4
172562,2020-02-04,0.7,0.5,0,88.5,66.3,0.00138,103,344,-7.15,-13.55,0.07,3.7
172562,2020-02-05,1.6,1,0,70.4,47,0.00153,84,213,-1.05,-9.45,0.2,4.7
172562,2020-02-06,1.1,0.7,0.5,98.2,53,0.00171,68.3,197,-1.25,-12.15,0.13,4
172562,2020-02-07,0.1,0.1,0,100,87.4,0.00137,76.7,335,-10.85,-19.65,0,4.5
172562,2020-02-08,1.1,0.7,15.2,88,49.1,0.00133,113,200,-3.55,-13.95,0.13,3.6
172562,2020-02-09,0.5,0.3,1.4,100,75.6,0.00172,104.9,357,-6.05,-13.55,0.04,4.5
172562,2020-02-10,1.2,0.8,0,89.8,54.7,0.00163,123.6,233,-2.35,-11.65,0.13,4.9
172562,2020-02-11,1.3,0.9,0,92.8,56.9,0.00191,135.5,230,-0.75,-10.05,0.14,5.5
172562,2020-02-12,1.1,0.7,0,100,42.8,0.00147,65.2,327,-0.25,-27.65,0.1,6.9
172562,2020-02-13,0.7,0.4,0,59,34,0.00031,143.2,286,-16.95,-26.45,0.07,4
172562,2020-02-14,2.4,1.5,0,74.8,28.2,0.00091,138.8,188,-0.75,-16.65,0.23,8.1
172562,2020-02-15,1.7,1.1,0,75.9,50.6,0.00182,142.7,251,0.25,-8.15,0.19,4.5
172562,2020-02-16,1.1,0.8,0,67.7,59.2,0.00163,126.3,102,-3.45,-8.15,0.15,2.9
172562,2020-02-17,0.8,0.6,0,82.1,73.1,0.00195,121.2,341,-3.95,-8.25,0.09,3.1
172562,2020-02-18,0.7,0.5,0,100,56.3,0.00124,122.4,303,-6.35,-17.65,0.07,3.6
172562,2020-02-19,0.5,0.4,0,100,57.1,0.00077,125.4,345,-12.55,-22.65,0.05,2.5
172562,2020-02-20,1.6,1.1,0,82.7,30.7,0.00078,155.9,223,-4.05,-19.65,0.17,4.9
172562,2020-02-21,2.6,1.7,0,61.7,44.6,0.00183,156.1,220,2.15,-5.45,0.28,6.7
