source,entry,maturityGroup,traits,seedTreatment ,bshl_acr,harvestType
Hubner,H31-32XF,3.1,XtendFlex,Acceleron,48.2,late
Lakeview Farms,LVF3641,3.6,Conventional,EclipseUS Quad-R IM SDS 75,48.1,late
Lakeview Farms,LVF3230,3.2,Conventional,EclipseUS Quad-R IM SDS 75,47.9,late
Seed Consultants,SC7332E,3.3,Enlist,LumiGEN / ILeVO,47.6,late
Nutrien/Dyna-Gro,S33XF62,3.3,XtendFlex,"Equity VIP, Saltro, Vayantis",46.1,late
Revere Seed,3908XFS,3.9,XtendFlex/STS,Radius Premium,45.2,late
Hubner,H33-52XF,3.3,XtendFlex,Acceleron,45.2,late
"Perdue AgriBusiness, LLC",P41UI22,4.1,Non-GMO,None,44.9,late
Lakeview Farms,LVF3831,3.8,Conventional,EclipseUS Quad-R IM SDS 75,44,late
FS Highsoy,HS 43F20,4.3,XtendFlex,Acceleron Std.,43.1,late
