"mukey","grid.ids","n"
542053,317107,18
542055,315721,225
542055,315722,53
542055,317106,189
542055,317107,12
542055,317108,40
542056,315720,58
542056,317106,335
542057,315722,262
542057,315723,61
542057,315724,1
542057,317106,3
542057,317107,331
542057,317108,791
542057,317109,870
542057,317110,1
542058,315720,26
542058,317107,71
542058,317108,30
542058,317109,30
542058,318492,34
542058,318493,15
542059,315720,12
542059,315721,35
542059,317107,20
542059,317109,100
542059,318492,46
542059,318493,36
542060,315721,59
542060,317107,35
542061,315721,73
542061,315722,18
542061,315724,2
542061,317108,12
542061,318492,39
542062,315720,11
542062,315724,3
542062,317107,46
542062,317108,12
542062,317109,79
542062,318492,57
542063,315724,8
542063,317106,51
542063,317107,20
542063,318492,239
542063,318493,24
542064,315721,31
542064,315722,257
542064,315723,37
542064,315724,3
542064,317107,53
542064,317108,574
542064,317109,117
542064,318492,238
542064,318493,118
542065,315721,133
542065,315722,26
542065,317107,78
542065,317108,68
542066,315721,8
542066,315722,51
542066,317107,1
542066,317108,10
542066,318492,14
542067,315721,234
542067,315722,85
542067,317106,44
542067,317107,35
542067,317108,102
542067,317109,200
542068,315721,18
542068,315722,50
542068,317107,40
542068,317108,128
542068,317109,37
542069,315721,24
542069,315724,114
542069,317106,55
542069,317107,63
542069,317108,37
542069,317110,1
542070,315721,112
542070,315722,9
542070,317106,96
542070,317107,132
542070,317108,19
542070,318494,4
542071,315720,49
542071,315721,860
542071,315722,698
542071,315723,115
542071,315724,17
542071,317106,226
542071,317107,464
542071,317108,743
542071,317109,406
542071,317110,22
542071,318492,10
542071,318493,7
542072,315721,144
542072,315722,240
542072,315723,117
542072,315724,47
542072,317107,407
542072,317108,201
542072,317109,65
542072,318492,10
542073,315720,320
542073,315721,886
542073,315722,78
542073,315723,44
542073,317106,425
542073,317107,189
542073,317108,21
542073,317109,21
542074,315721,39
542074,317107,203
542075,315722,20
542075,317107,29
542075,318492,16
542075,318493,19
542076,315720,90
542076,315721,515
542076,315722,102
542076,315723,9
542076,317106,30
542076,317107,114
542076,317108,30
542077,315721,178
542077,315722,22
542078,314335,13
542078,315720,156
542078,315721,895
542078,315722,383
542078,315724,43
542078,317106,678
542078,317107,241
542078,317108,31
542078,317109,236
542078,317110,113
542079,315721,349
542079,315722,54
542079,317107,42
542079,317109,187
542079,318495,3
542080,317107,11
542081,315721,69
542081,315722,21
542082,315721,266
542082,315722,117
542082,315723,39
542082,317106,10
542082,317107,31
542082,317108,82
542082,317109,554
542082,317110,47
542082,318492,17
542082,318493,4
542083,315721,22
542083,315723,1
542083,317107,272
542083,317108,37
542083,317109,433
542083,318492,30
542083,318493,7
542084,315721,59
542084,315722,36
542084,315724,153
542084,317107,61
542084,317109,584
542084,317110,161
542084,318492,226
542085,315721,315
542085,315722,66
542085,315724,23
542085,317107,180
542085,317108,1
542085,317109,167
542085,317110,222
542085,318493,10
542086,315721,33
542086,317107,218
542086,317108,13
542087,314335,28
542087,314336,14
542087,315720,33
542087,315721,496
542087,315722,143
542087,315723,120
542087,317106,365
542087,317107,56
542087,317108,676
542087,317109,225
542087,318492,14
542088,314335,9
542088,315721,400
542088,315722,342
542088,315723,35
542088,317106,56
542088,317107,72
542088,317108,494
542088,317109,251
542088,318492,9
542089,315721,50
542089,315722,86
542089,317106,31
542089,317107,74
542089,317108,173
542090,314335,60
542090,315720,134
542090,315721,465
542090,315722,530
542090,315724,74
542090,317106,844
542090,317107,238
542090,317108,102
542090,317109,92
542090,317110,312
542090,318492,13
542090,318493,49
542091,315720,28
542091,315721,529
542091,315722,405
542091,315724,120
542091,317106,227
542091,317107,482
542091,317108,95
542091,317109,2068
542091,317110,3250
542091,318492,146
542091,318495,18
542092,315721,81
542092,315722,53
542092,317106,25
542092,317107,97
542092,317108,306
542092,317109,214
542092,317110,17
542092,318492,522
542092,318493,205
542092,318495,3
542093,315721,106
542093,315722,80
542093,317106,20
542093,317107,19
542094,315721,201
542094,317106,8
542094,317108,66
542094,317109,13
542096,317109,21
542097,317109,12
542098,317109,31
542102,317107,28
542104,315721,226
542104,315722,62
542104,317106,9
542104,317107,18
542104,317108,31
542105,315721,112
542105,315722,23
542105,317108,9
542106,315720,19
542106,315721,480
542106,315722,131
542106,317106,340
542106,317107,42
542107,317107,273
542107,317108,222
542107,317109,35
542107,318492,241
542107,318493,42
542108,317107,34
542108,317108,44
542108,318492,12
542108,318493,4
542109,317107,113
542111,314335,31
542111,315720,403
542111,315721,963
542111,315722,1043
542111,315723,73
542111,315724,190
542111,317106,555
542111,317107,969
542111,317108,1579
542111,317109,1035
542111,317110,120
542111,318492,287
542111,318493,96
542112,314335,27
542112,315720,106
542112,315721,929
542112,315722,1067
542112,315723,227
542112,315724,233
542112,317106,196
542112,317107,1221
542112,317108,2053
542112,317109,2508
542112,317110,112
542112,318492,361
542112,318493,17
542113,314335,16
542113,315720,31
542113,315721,471
542113,315722,297
542113,315723,275
542113,315724,47
542113,317106,116
