"mukey","grid.ids","n"
544800,310201,59
544802,310199,21
544802,311585,23
544804,311585,54
544804,312970,86
544804,312971,7
544805,310201,49
544805,311585,240
544805,311586,194
544805,311587,91
544805,312971,265
544805,312972,85
544813,310201,74
544813,311586,75
544813,311587,21
544813,312972,11
544817,310200,304
544817,310201,711
544817,311585,37
544817,311586,646
544817,311587,419
544817,312972,313
544821,311586,114
544822,311586,48
544822,311587,4
544823,310200,16
544823,311585,140
544823,311586,31
544824,310200,5
544824,311585,27
544824,311586,8
544824,311587,2
544824,312972,11
544825,310200,40
544825,311585,78
544825,311586,93
544825,311587,124
544825,312971,139
544825,312972,45
544827,311585,50
544827,311586,9
544827,312971,237
544833,310199,20
544833,311584,32
544833,311585,81
544833,312970,911
544833,312971,6
544834,311585,487
544834,312970,711
544834,312971,281
544835,310200,812
544835,310201,131
544835,310202,51
544835,311586,1145
544835,311587,754
544835,312971,21
544836,310199,30
544836,310200,1598
544836,310201,1402
544836,310202,63
544836,311585,1099
544836,311586,2699
544836,311587,1389
544836,312971,461
544836,312972,770
544836,312973,3
544838,310199,19
544838,310200,542
544838,310201,224
544838,311585,215
544838,311586,1026
544838,311587,524
544838,312971,288
544838,312972,272
544842,310199,77
544842,310200,402
544842,310201,1265
544842,310202,3
544842,311585,1402
544842,311586,2561
544842,311587,1225
544842,312971,803
544842,312972,761
544842,312973,26
544870,312970,393
544871,311584,83
544871,311585,173
544871,312969,13
544871,312970,567
544871,312971,125
544871,312972,7
544872,310199,45
544872,311584,197
544872,311585,175
544872,312969,4
544872,312970,1939
544872,312971,603
544873,310199,188
544873,311584,127
544873,311585,1358
544873,312970,1149
544873,312971,726
544885,310199,35
544885,310200,431
544885,310201,337
544885,311585,438
544885,311586,761
544885,311587,181
544885,312971,193
544885,312972,123
544886,310200,888
544886,310201,2209
544886,311585,266
544886,311586,3812
544886,311587,2677
544886,312971,43
544886,312972,1226
544887,310199,17
544887,310200,117
544887,310201,54
544887,311585,68
544887,311586,284
544887,312972,42
544889,310199,171
544889,310200,414
544889,310201,997
544889,311585,1017
544889,311586,2600
544889,311587,2107
544889,312971,687
544889,312972,407
544889,312973,5
544891,310199,48
544891,310200,754
544891,310201,771
544891,311585,556
544891,311586,1790
544891,311587,1544
544891,312971,71
544891,312972,759
544896,311585,74
544896,312970,115
544896,312971,593
544902,312970,194
544903,310199,24
544903,311585,242
544903,312970,1641
544903,312971,243
544913,310201,28
544913,311587,13
544913,312972,46
544929,310199,354
544929,311585,684
544929,312971,61
544930,311585,31
544930,312971,38
544931,310199,77
544931,311585,189
544931,312971,16
544934,310199,154
544934,311585,1497
544934,312970,81
544934,312971,71
544938,311585,26
544939,310201,2
544939,311585,2
544939,311586,7
544946,311586,13
544947,311586,177
544948,311587,24
544948,312972,42
NA,NA,169399
