"mukey","grid.ids","n"
540689,296369,87
540689,296370,39
540689,297754,98
540689,297756,90
540690,296368,119
540690,296369,185
540690,296370,57
540690,297753,162
540690,297754,115
540690,297755,251
540690,297756,132
540690,299139,8
540692,296368,33
540692,296371,65
540693,296369,7
540694,296368,26
540694,296369,229
540694,296370,94
540694,297753,158
540694,297754,92
540694,297755,577
540694,297756,299
540695,296369,47
540695,296370,19
540695,297753,167
540695,297754,301
540695,297755,14
540695,297756,7
540696,296369,391
540696,296370,719
540696,296371,42
540696,297753,66
540696,297754,304
540696,297755,166
540696,297756,173
540696,299139,29
540700,296368,415
540700,296369,409
540700,297753,345
540700,297754,1284
540700,297755,86
540701,296368,258
540701,296369,220
540701,297753,510
540701,297754,857
540701,297755,87
540704,296368,45
540704,296369,38
540704,297753,268
540704,297754,429
540704,297755,5
540707,296369,32
540707,296370,6
540707,297753,12
540707,297754,74
540707,297756,126
540708,296368,162
540708,296369,175
540708,296370,25
540708,297754,204
540708,297755,139
540708,297756,36
540711,296370,18
540711,297756,21
540711,297757,115
540712,296369,78
540712,296370,1013
540712,296371,2
540712,297756,312
540712,297757,216
540713,296369,3
540713,296370,147
540713,297756,141
540713,297757,116
540714,296368,805
540714,296369,1226
540714,296370,800
540714,296371,74
540714,297753,400
540714,297754,1505
540714,297755,1456
540714,297756,496
540714,299139,65
540714,299140,19
540715,296368,223
540715,296369,719
540715,296370,1013
540715,296371,5
540715,297753,242
540715,297754,1068
540715,297755,1534
540715,297756,331
540715,297757,1
540715,299139,267
540715,299140,453
540716,296368,27
540716,296369,132
540716,296370,114
540717,296368,1102
540717,296369,2669
540717,296370,4231
540717,296371,12
540717,297753,1004
540717,297754,5457
540717,297755,2702
540717,297756,1347
540717,299139,940
540717,299140,276
540718,296368,329
540718,296369,1744
540718,296370,3170
540718,297753,408
540718,297754,1517
540718,297755,2696
540718,297756,1815
540718,299139,375
540718,299140,267
540720,297753,78
540723,296369,60
540723,297753,20
540725,296368,31
540725,296369,111
540725,296370,199
540725,297753,121
540725,297754,371
540725,297755,730
540725,297756,636
540725,299139,9
540726,296368,35
540726,296369,254
540726,296370,196
540726,297753,47
540726,297754,926
540726,297755,1117
540726,297756,248
540727,294985,14
540727,296370,93
540727,296371,1151
540727,297756,166
540727,297757,62
540728,294985,123
540728,296368,107
540728,296369,330
540728,296370,897
540728,296371,2322
540728,297755,463
540728,297756,765
540728,297757,392
540729,294985,247
540729,296368,413
540729,296369,1506
540729,296370,1526
540729,296371,3864
540729,297754,20
540729,297755,354
540729,297756,554
540729,297757,621
540731,297753,11
540732,297753,206
540737,296368,8
540737,296369,55
540737,296370,23
540737,297753,15
540737,297756,55
540738,296368,28
540738,296369,44
540738,296370,242
540738,296371,5
540738,297753,37
540738,297754,7
540738,297755,52
540738,297756,96
540739,296368,76
540739,296369,212
540739,296370,144
540739,296371,45
540739,297753,3
540739,297754,276
540739,297755,105
540739,297756,149
540739,299139,73
540740,296368,154
540740,296369,411
540740,296370,466
540740,297753,502
540740,297754,1509
540740,297755,854
540740,297756,232
540740,299139,187
540740,299140,126
540741,296368,18
540741,296370,65
540741,296371,339
540741,297754,83
540741,297756,204
540742,296368,219
540742,296370,71
540742,296371,275
540742,297756,268
540743,296368,48
540743,296369,22
540743,296371,485
540743,297757,335
540744,296368,358
540744,296369,775
540744,296370,194
540744,296371,852
540744,297756,298
540744,297757,752
540745,297753,27
540753,297753,34
540762,297753,78
540762,297754,172
540770,297753,8
540777,296368,86
540777,297753,679
540777,297754,670
740653,296369,9
740653,296370,9
740653,297753,12
740653,297754,71
NA,NA,184308
