"mukey","grid.ids","n"
553120,288001,10
1720831,289385,105
1720831,289386,13
1720831,290772,133
1720832,289385,15
1720832,290772,27
1720832,292158,8
1720835,290772,12
1720836,289385,45
1720836,289386,155
1720836,289387,28
1720836,290771,208
1720836,290772,280
1720836,292157,106
1720836,292158,11
1720843,288000,17
1720843,288001,23
1720843,289385,5
1720843,289386,49
1720843,289387,17
1720843,290772,35
1720843,290773,35
1720843,292157,74
1720843,292158,23
1720844,288001,153
1720844,289385,20
1720844,289386,19
1720844,289387,20
1720844,290772,45
1720844,290773,56
1720844,292157,26
1720844,292158,25
1720845,289386,39
1720845,289387,36
1720845,290771,6
1720845,290772,33
1720845,292157,43
1720848,288001,43
1720848,292157,1
1720872,288001,219
1720872,289385,806
1720872,289386,971
1720872,289387,570
1720872,290771,163
1720872,290772,839
1720872,290773,285
1720872,292157,229
1720872,292158,1132
1720874,288000,4
1720874,288001,72
1720874,289385,538
1720874,289386,1339
1720874,289387,300
1720874,290771,276
1720874,290772,998
1720874,290773,232
1720874,292157,131
1720874,292158,390
1720877,288001,5
1720877,289385,43
1720877,289386,159
1720877,289387,25
1720878,289385,17
1720878,289386,139
1720878,289387,122
1720878,290771,16
1720878,290772,12
1720878,290773,22
1720880,288000,71
1720880,288001,248
1720880,289385,576
1720880,289386,1396
1720880,289387,731
1720880,290771,1056
1720880,290772,1637
1720880,290773,629
1720880,292157,402
1720880,292158,580
1720881,288000,33
1720881,288001,197
1720881,289385,458
1720881,289386,2069
1720881,289387,1471
1720881,290771,867
1720881,290772,2713
1720881,290773,1092
1720881,292157,507
1720881,292158,1662
1720883,288001,136
1720883,289385,23
1720883,289387,15
1720883,290772,24
1720883,292157,27
1720883,292158,138
1720884,288001,39
1720884,289385,91
1720884,289386,18
1720884,289387,8
1720884,290771,1
1720884,290772,110
1720884,290773,43
1720884,292157,25
1720884,292158,9
1720885,288000,8
1720885,289385,201
1720885,289386,547
1720885,289387,242
1720885,290771,237
1720885,290772,1407
1720885,290773,57
1720885,292157,150
1720885,292158,150
1720886,289385,32
1720886,290771,28
1720886,290772,35
1720886,290773,28
1720902,288001,56
1720902,289385,410
1720902,289386,512
1720902,289387,256
1720902,290771,80
1720902,290772,572
1720902,290773,158
1720902,292157,170
1720902,292158,587
1720904,289385,234
1720904,289386,54
1720904,289387,112
1720904,290771,8
1720904,290772,215
1720904,292157,19
1720904,292158,50
1720910,288000,80
1720910,288001,1
1720910,289386,330
1720910,289387,180
1720910,290771,436
1720910,290772,821
1720910,290773,34
1720910,292157,353
1720916,289385,78
1720916,289386,7
1720916,290772,58
1720917,290772,6
1720918,289386,40
1720918,290771,147
1720918,290772,299
1720918,290773,76
1720918,292157,32
1720918,292158,33
1720919,289387,10
1720919,290771,102
1720919,290772,259
1720919,290773,31
1720919,292157,159
1720919,292158,28
1720921,289386,10
1720921,289387,5
1720921,290771,64
1720921,290772,50
1720921,290773,5
1720921,292157,197
1720921,292158,85
1720923,289386,9
1720923,290771,24
1720923,290772,28
1720923,292157,163
1720923,292158,55
1720924,290771,7
1720924,290772,1
1720924,290773,19
1720924,292157,37
1720924,292158,19
1720925,292157,7
1720925,292158,17
1720926,289386,46
1720926,289387,5
1720926,290771,5
1720926,290772,17
1720926,292157,2
1720926,292158,20
1720927,288000,7
1720927,289385,8
1720927,289386,18
1720927,289387,19
1720927,290771,9
1720927,290772,37
1720927,290773,34
1720927,292158,35
1720928,288000,7
1720928,288001,49
1720928,289385,205
1720928,289386,706
1720928,289387,531
1720928,290771,336
1720928,290772,1107
1720928,290773,366
1720928,292157,372
1720928,292158,401
1720929,288000,1
1720929,288001,9
1720929,289385,222
1720929,289386,1434
1720929,289387,977
1720929,290771,647
1720929,290772,2489
1720929,290773,632
1720929,292157,629
1720929,292158,1066
1720931,288001,18
1720931,289385,314
1720931,289386,740
1720931,289387,773
1720931,290771,762
1720931,290772,1617
1720931,290773,965
1720931,292157,532
1720931,292158,1047
1720936,288001,61
1720936,289385,31
1720936,289386,98
1720936,289387,20
1720936,290771,8
1720936,290772,185
1720936,290773,47
1720936,292157,329
1720936,292158,161
1720937,288000,24
1720937,288001,306
1720937,289385,78
1720937,289386,352
1720937,289387,129
1720937,290771,78
1720937,290772,347
1720937,290773,40
1720937,292157,294
1720937,292158,1384
1720938,288001,47
1720938,289385,30
1720938,289386,93
1720938,289387,40
1720938,290772,137
1720938,290773,94
1720938,292157,91
1720938,292158,202
1720940,288001,14
1720940,290772,14
1720940,292157,4
1720940,292158,29
1720946,288000,1
1720946,288001,120
1720946,289385,84
1720946,289386,989
1720946,289387,484
1720946,290771,285
1720946,290772,732
1720946,290773,115
1720946,292157,167
1720946,292158,310
1720951,289387,14
1720952,290771,1
1720952,292157,7
1720955,290773,9
1720956,290771,22
1720965,290771,4
1720965,290772,33
1720966,290772,68
2393847,288001,58
2393847,292158,108
2393848,288001,570
2393848,289385,407
2393848,289386,746
2393848,289387,1202
2393848,290772,91
2393848,290773,9
2393848,292158,135
2393851,288001,48
2393851,289386,516
2393851,290773,19
2393851,292158,368
2393852,289385,688
2393852,289386,2287
2393852,289387,458
2393852,292158,198
2393876,289386,1
2393890,288000,26
2393890,289386,189
2394563,288001,4
2394563,290772,47
2394563,292158,3
2394564,289385,83
2394564,289386,122
2394564,289387,147
2394564,290771,70
2394564,290772,268
2394564,290773,41
2394564,292157,25
2394564,292158,86
3180045,289386,51
3180045,289387,4
3180045,290772,51
3180045,290773,17
3180045,292158,134
3180048,289385,10
3180048,290772,25
3180048,292158,86
NA,NA,105230
