"mukey","grid.ids","n"
524750,269971,78
524750,271357,114
524750,271358,80
524750,272744,43
524750,272745,54
524754,272744,78
529720,269971,819
529720,269972,1273
529720,269973,105
529720,271357,1240
529720,271358,1471
529720,272743,49
529720,272744,511
529720,272745,172
529721,269971,258
529721,269972,881
529721,269973,101
529721,271357,81
529721,271358,379
529721,272744,577
529721,272745,33
529721,274130,103
529722,269971,15
529722,272744,119
529722,274130,143
529723,272744,19
529723,274129,1
529723,274130,34
529749,272744,73
529754,269971,105
529754,269972,116
529754,271357,1105
529754,271358,1009
529754,272743,678
529754,272744,2736
529754,272745,203
529754,274129,411
529754,274130,1191
529754,274131,186
529755,271357,858
529755,271358,353
529755,272743,241
529755,272744,552
529755,274130,579
529755,274131,19
529756,269971,57
529756,271357,273
529756,271358,705
529756,272743,15
529756,272744,870
529756,274130,125
529756,274131,30
529757,269971,290
529757,269972,652
529757,269973,90
529757,271357,883
529757,271358,1246
529757,272743,145
529757,272744,990
529757,272745,114
529757,274130,290
529758,271357,20
529758,274130,1
529759,271358,36
529759,272744,115
529759,272745,14
529760,271358,16
529760,272744,94
529763,271357,83
529764,271357,116
529765,271358,145
529765,272744,26
529770,271358,28
529770,272744,38
529770,272745,990
529770,274130,276
529770,274131,9
529774,269971,57
529774,269972,239
529774,269973,47
529774,271357,738
529774,271358,506
529774,272743,81
529774,272744,589
529775,271357,15
529775,272743,29
529780,269971,38
529780,269972,6
529780,269973,28
529780,271357,14
529780,272743,175
529780,272744,52
529782,271358,78
529782,272744,51
529782,272745,69
529782,274129,8
529783,271358,1
529783,272744,211
529788,272744,39
529793,269971,823
529793,269972,1465
529793,269973,141
529793,271357,91
529793,271358,2399
529793,272744,1010
529793,272745,161
529793,274130,286
529794,269972,36
529795,269971,611
529795,269972,1952
529795,269973,101
529795,271357,170
529795,271358,1123
529795,272744,419
529795,272745,528
529795,274130,441
557483,269971,4
557483,269972,6
557483,271357,5
557483,271358,13
557483,272744,83
557483,272745,28
557483,274130,231
557483,274131,10
557486,269971,75
557486,269972,616
557486,271357,497
557486,271358,478
557486,272744,261
557486,272745,364
557486,274130,301
557486,274131,19
557487,269971,310
557487,269972,7
557487,271357,447
557487,271358,1608
557487,272744,395
557487,272745,558
557487,274130,223
557487,274131,118
557490,269971,143
557490,269972,221
557490,271357,341
557490,271358,486
557490,272743,26
557490,272744,1228
557490,274130,1095
557490,275516,3
557491,269971,131
557491,269972,2
557491,271357,8
557491,271358,1405
557491,272744,1529
557491,272745,425
557491,274130,414
557491,274131,240
557492,269971,15
557492,269972,215
557492,269973,109
557492,271357,183
557492,271358,37
557492,272743,44
557492,272744,32
557492,274130,12
557493,269971,26
557493,269972,110
557493,269973,54
557493,271357,28
557493,272744,26
557493,272745,33
557493,274130,23
557494,269971,79
557494,269972,1023
557494,269973,129
557494,271357,87
557494,271358,145
557494,272744,28
557494,272745,182
557494,274130,107
557494,274131,10
557495,269973,1
557495,272743,3
557495,272744,173
557495,272745,81
557495,274130,257
557495,274131,111
557496,269971,92
557496,271357,1
557496,271358,331
557496,272743,19
557496,272744,1028
557496,272745,563
557496,274130,1706
557496,274131,509
561329,271358,15
561329,272744,368
561329,272745,75
561329,274130,1265
561329,275516,2
561370,269971,56
561370,269972,214
561370,271357,37
561370,271358,117
563160,269971,53
563160,269972,72
563160,271357,235
563160,271358,93
563160,272743,185
563160,272744,19
563160,272745,21
563160,274131,44
563167,269971,295
563167,269972,760
563167,269973,153
563167,271358,322
563167,272743,202
563167,272744,181
563167,272745,111
563167,274129,25
563167,274130,91
563168,269971,161
563168,269972,135
563168,269973,29
563168,271358,101
563168,271359,1
563168,272744,242
563168,272745,67
563168,274130,257
563490,271357,32
563490,271358,28
563490,272744,17
563491,271357,26
563491,271358,56
563491,272744,27
563496,272744,60
563613,269972,21
563613,269973,7
563613,272744,15
563636,269971,84
563636,272743,34
563636,272744,27
563645,269971,129
563645,271357,199
563645,272743,106
563645,272744,200
563645,272745,60
563645,274130,40
563645,274131,25
563650,269971,102
563650,271357,69
563650,272743,100
563650,272744,166
563650,272745,384
563650,274130,16
563650,274131,37
563700,269971,60
563700,269972,5
563700,271358,52
563793,271358,73
563793,272744,496
563793,272745,5
563795,272744,305
563795,272745,80
563795,274130,61
580374,272744,278
580374,272745,195
580374,274130,1042
580374,274131,210
633067,269971,161
633067,269972,140
633067,271357,12
633067,271358,82
633071,269971,1086
633071,269972,743
633071,269973,108
633071,271357,751
633071,271358,329
633071,272743,56
633071,272744,366
633071,272745,724
633071,274130,147
633071,274131,507
708031,269971,106
708031,269972,242
708031,271357,349
708031,271358,762
708031,272744,276
742574,269971,21
742574,271357,165
886499,271357,29
886499,272745,47
1486879,272745,229
1885362,269971,16
1885362,271358,23
1885362,272744,88
1885363,269971,11
1885363,269972,24
1885363,271357,80
1885363,271358,286
1885363,272744,362
2399586,271357,59
2399586,272743,36
2399586,274130,17
2399590,272744,212
2399590,274130,25
2399590,274131,24
2428756,274130,43
2438056,272744,19
2438056,274129,2
2438056,274130,2000
NA,NA,181692
