"mukey","grid.ids","n"
524750,267205,21
524750,268590,371
524750,268591,540
524750,269975,106
524750,269976,182
524750,271360,148
524750,271361,13
524754,269974,1
529720,267205,245
529720,268589,40
529720,268590,167
529720,268591,79
529720,269974,203
529720,269975,1316
529720,269976,344
529720,269977,74
529720,271360,64
529720,271361,637
529720,272746,7
529721,268590,20
529721,269974,1
529721,269975,111
529721,269976,15
529721,271360,307
529721,271361,213
529722,268590,108
529722,269974,9
529722,269975,87
529722,269976,36
529722,271361,23
529722,271362,20
529723,268590,55
529723,269974,16
529723,269976,33
529723,271360,16
529723,271361,15
529724,268590,177
529724,269974,37
529724,269975,16
529724,269976,88
529724,271361,6
529754,267204,459
529754,267205,321
529754,268589,71
529754,268590,639
529754,268591,1063
529754,269974,33
529754,269975,2659
529754,269976,516
529754,269977,428
529754,271360,97
529754,271361,96
529754,271362,247
529754,272746,39
529755,269975,269
529755,269976,22
529755,269977,71
529755,271360,147
529755,271361,410
529756,268589,176
529756,268590,705
529756,268591,421
529756,269974,116
529756,269975,784
529756,269976,215
529756,269977,243
529756,271360,47
529756,271361,499
529756,271362,94
529756,272747,25
529757,268589,87
529757,268590,277
529757,268591,109
529757,269974,208
529757,269975,1139
529757,269976,430
529757,269977,86
529757,271360,200
529757,271361,250
529757,271362,1
529757,272747,74
529759,269974,51
529759,269975,186
529759,269976,25
529760,268589,20
529760,269975,361
529760,269976,46
529774,268590,83
529774,268591,130
529774,269974,27
529774,269975,289
529774,269976,48
529774,269977,368
529774,271360,15
529774,271362,19
529780,267205,298
529780,268590,28
529780,268591,22
529780,271360,44
529780,271361,122
529780,272746,130
529780,272747,67
529782,267205,107
529782,268590,188
529782,269975,336
529782,269976,9
529782,269977,278
529782,271361,153
529793,267205,597
529793,268589,177
529793,268590,1834
529793,268591,1415
529793,269974,127
529793,269975,1670
529793,269976,2166
529793,269977,24
529793,271360,184
529793,271361,1239
529793,271362,452
529793,272746,57
529793,272747,81
529794,267205,104
529794,268590,53
529794,268591,47
529794,271360,20
529794,271361,24
529795,267205,52
529795,268589,103
529795,268590,265
529795,268591,273
529795,269975,604
529795,269976,953
529795,269977,124
529795,271360,183
529795,271361,487
529795,271362,106
529795,272747,140
557483,267205,17
557483,268590,3
557483,268591,8
557483,269975,15
557483,269976,6
557483,271360,6
557483,271361,44
557483,272746,95
557483,272747,1
557485,268590,71
557486,267204,80
557486,267205,383
557486,268590,1386
557486,268591,1678
557486,269975,818
557486,269976,294
557486,269977,324
557486,271360,115
557486,271361,275
557486,271362,78
557486,272746,361
557486,272747,111
557487,267205,203
557487,268589,63
557487,268590,452
557487,268591,549
557487,269975,91
557487,269976,871
557487,269977,65
557487,271360,106
557487,271361,378
557487,271362,114
557487,272746,839
557487,272747,291
557490,267204,47
557490,267205,109
557490,268590,1129
557490,268591,1162
557490,269975,472
557490,269976,564
557490,269977,152
557490,271360,627
557490,271361,447
557490,271362,11
557490,272746,199
557490,272747,128
557491,267204,10
557491,267205,136
557491,268590,1158
557491,268591,409
557491,269975,660
557491,269976,2534
557491,269977,362
557491,271360,1223
557491,271361,1622
557491,271362,98
557491,272746,482
557491,272747,445
557492,268591,14
557492,269974,11
557492,269975,60
557492,269976,252
557492,271361,184
557493,268589,29
557493,268590,28
557493,268591,17
557493,269975,95
557493,269976,142
557493,271361,38
557494,268589,2
557494,268590,328
557494,268591,18
557494,269974,20
557494,269975,148
557494,269976,191
557494,269977,37
557494,271360,186
557494,271361,1015
557494,271362,56
557494,272746,100
557494,272747,57
557495,267205,1
557495,268590,152
557495,268591,288
557495,269976,347
557495,269977,147
557495,271360,4
557495,271361,297
557495,272746,12
557495,272747,60
557496,267205,113
557496,268589,15
557496,268590,1499
557496,268591,1089
557496,269975,548
557496,269976,1607
557496,269977,302
557496,271360,545
557496,271361,1482
557496,271362,7
557496,272746,339
557496,272747,370
561329,269975,63
561329,269976,48
561370,267204,2
561370,267205,97
561370,268590,24
561370,268591,228
561370,269975,4
561370,269976,147
561370,271361,134
563160,267204,27
563160,267205,17
563160,268590,38
563160,268591,169
563160,269975,185
563160,269976,9
563160,269977,61
563160,271361,11
563167,267205,215
563167,268589,46
563167,268590,367
563167,268591,388
563167,269975,42
563167,269976,118
563167,271360,669
563167,271361,525
563167,271362,64
563167,272746,58
563167,272747,268
563168,267205,75
563168,268590,74
563168,268591,55
563168,269974,11
563168,269975,59
563168,269976,20
563168,271360,269
563168,272746,98
563490,268589,32
563491,268589,70
563491,268590,20
563496,269975,1
563496,271361,31
563613,268590,12
563613,269974,1
563613,269976,34
563613,271361,37
563636,271360,36
563636,271361,66
563636,272746,80
563638,271360,84
563645,269975,76
563645,269976,333
563645,271360,49
563645,271362,89
563645,272746,479
563650,268591,90
563650,269975,74
563650,269976,69
563650,269977,212
563650,271360,216
563650,271362,27
563650,272746,1030
563700,271360,416
563700,271361,434
563700,272746,1
563793,268591,44
563793,269974,60
563793,269975,69
563793,269976,6
563795,268590,319
563795,268591,105
563795,269976,474
563795,269977,80
563795,271360,190
563795,271361,409
563795,272746,55
563795,272747,1
580374,268590,282
580374,269975,586
580374,269976,1428
580374,271360,1034
580374,271361,2542
580374,271362,18
580374,272746,1688
580374,272747,379
633067,271360,104
633067,271361,211
633067,272747,124
633071,267204,275
633071,267205,113
633071,268589,129
633071,268590,589
