"mukey","grid.ids","n"
539203,250568,115
539203,251953,107
539203,251954,67
539203,251955,38
539203,253341,17
539204,250568,83
539204,251953,354
539204,251954,472
539204,251955,567
539204,253340,98
539204,253341,82
539204,253342,58
539205,250568,201
539205,251953,42
539205,251954,1968
539205,251955,1826
539205,253340,64
539205,253341,348
539205,253342,301
539206,250568,41
539206,251954,430
539206,251955,426
539206,253341,690
539206,253342,13
539209,250566,628
539209,251952,31
539209,253340,15
539209,253341,39
539210,249179,654
539210,249180,113
539210,250565,79
539210,250566,596
539210,250567,58
539210,251952,134
539210,251953,726
539210,251954,259
539210,253341,461
539210,253342,2
539218,249179,626
539218,250565,123
539218,250566,486
539218,250567,245
539218,251953,510
539218,253341,882
539219,249179,111
539219,250566,271
539219,250567,41
539219,251952,16
539219,251953,743
539219,251954,27
539219,253340,59
539219,253341,44
539219,253342,32
539220,251952,23
539220,251953,283
539221,249179,91
539221,251953,116
539221,253342,49
539222,249179,52
539222,250567,121
539222,250568,26
539222,251952,74
539222,251953,86
539235,250568,19
539235,251953,93
539235,251954,442
539235,251955,219
539235,253340,76
539235,253341,730
539235,253342,36
539236,250568,8
539236,251953,401
539236,251954,931
539236,251955,499
539236,253340,169
539236,253341,1125
539236,253342,57
539237,250568,8
539237,251954,2189
539237,251955,1627
539237,251956,29
539237,253340,837
539237,253341,2241
539237,253342,785
539238,250568,14
539238,251953,376
539238,251954,1174
539238,251955,961
539238,253340,540
539238,253341,2003
539238,253342,153
539239,250568,270
539239,251953,535
539239,251954,1128
539239,251955,321
539239,253340,250
539239,253341,860
539239,253342,189
539244,250568,10
539244,251954,218
539244,251955,4
539244,253340,103
539244,253341,37
539245,250568,3
539245,251954,160
539245,251955,37
539245,253340,116
539245,253341,176
539247,251954,390
539247,251955,20
539247,251956,66
539247,253340,29
539247,253341,80
539247,253342,186
539248,251954,386
539248,251955,5
539248,251956,28
539248,253342,144
539249,251954,90
539249,253340,70
539249,253341,32
539250,250565,124
539250,250566,653
539250,250567,1105
539250,250568,485
539250,251952,689
539250,251953,2437
539250,251954,3182
539250,251955,83
539250,253340,398
539250,253341,1057
539250,253342,1288
539251,250567,24
539251,250568,98
539251,251952,6
539251,251953,2
539252,250566,387
539252,250567,1083
539252,250568,299
539252,251952,538
539252,251953,383
539253,249180,260
539253,250566,1223
539253,250567,2987
539253,250568,442
539253,251952,250
539253,251953,413
539253,251954,52
539254,249180,56
539254,250565,69
539254,250566,2178
539254,250567,1617
539254,250568,603
539254,251952,339
539254,251953,734
539254,251954,49
539255,250568,404
539255,251953,27
539255,251954,134
539257,249179,22
539257,250565,14
539257,250566,63
539257,251953,37
539257,251954,104
539257,253340,317
539257,253341,798
539257,253342,536
539259,251953,97
539259,251954,20
539259,253341,185
539259,253342,465
539260,249179,450
539260,250565,5
539260,250566,2027
539260,250567,65
539260,251952,60
539260,251953,469
539260,251954,751
539260,251955,147
539260,253340,526
539260,253341,28
539260,253342,126
539261,251954,47
539261,253340,61
539261,253341,503
539261,253342,60
539262,251954,405
539262,251955,271
539262,253340,256
539262,253341,855
539262,253342,548
539265,251953,278
539265,251954,102
539265,253340,75
539265,253341,197
539265,253342,339
539266,249179,93
539266,249180,478
539266,250565,141
539266,250566,442
539266,250567,263
539266,250568,102
539266,251953,23
539266,251954,60
539267,249179,421
539267,249180,2004
539267,250565,58
539267,250566,1801
539267,250567,2782
539267,250568,255
539267,251952,259
539267,251953,685
539267,251954,720
539268,249179,192
539268,249180,1152
539268,250565,168
539268,250566,1578
539268,250567,1119
539268,250568,416
539268,251952,117
539268,251953,780
539268,251954,497
539270,249179,416
539270,250565,488
539270,250566,2240
539270,250567,138
539270,250568,114
539270,251953,328
539270,251954,685
539270,251955,56
539270,253340,93
539270,253341,561
539270,253342,271
539274,250567,622
539274,250568,742
539274,251953,142
539275,250567,434
539275,250568,558
539275,251952,122
539275,251953,98
539276,250567,195
539276,250568,25
539276,251952,89
539277,249180,16
539277,250566,17
539277,250567,49
539277,250568,11
539277,251952,16
539277,251953,210
539277,251954,97
539277,253340,114
539277,253341,167
539277,253342,89
NA,NA,274463
