"mukey","grid.ids","n"
1678199,285217,39
1678199,285218,238
1678199,285219,12
1678199,286603,37
1678199,286604,186
1678199,286605,278
1678199,286606,15
1678199,286607,17
1678199,287991,233
1678199,287992,43
1678199,287993,479
1678200,285217,31
1678200,285218,313
1678200,286604,374
1678200,286605,442
1678200,286606,37
1678200,287991,321
1678200,287992,104
1678200,287993,239
1678200,287994,11
1678200,289379,10
1678201,285218,22
1678201,286604,22
1678201,286605,19
1678201,287991,17
1678206,285218,120
1678206,286604,112
1678206,286605,192
1678206,286606,214
1678206,287991,433
1678206,287992,596
1678206,287993,1019
1678206,287994,16
1678206,289379,20
1678207,285218,98
1678207,285219,2
1678207,286603,70
1678207,286604,880
1678207,286605,1109
1678207,286606,1936
1678207,286607,10
1678207,287990,18
1678207,287991,821
1678207,287992,1924
1678207,287993,1338
1678207,289379,91
1678208,285217,9
1678208,286603,116
1678208,286604,106
1678208,286605,361
1678208,286606,848
1678208,287990,21
1678208,287991,109
1678208,287992,390
1678208,287993,250
1678209,287991,71
1678209,287992,120
1678210,285217,75
1678210,287991,83
1678211,285217,46
1678211,285218,89
1678211,285219,2
1678211,286603,108
1678211,286604,595
1678211,286605,415
1678211,286606,424
1678211,287991,506
1678211,287992,372
1678211,287993,506
1678211,289379,31
1678212,285217,7
1678212,285218,25
1678212,286603,34
1678212,286604,234
1678212,286605,124
1678212,286606,71
1678212,287991,23
1678212,287992,43
1678212,287993,76
1678218,285218,71
1678218,286604,55
1678218,286605,15
1678218,286606,99
1678218,287991,368
1678218,287992,863
1678218,287993,178
1678218,289379,8
1678219,285218,19
1678219,286606,8
1678219,287991,89
1678219,287992,452
1678219,287993,175
1678220,286605,64
1678220,287991,347
1678220,287992,1011
1678220,287993,146
1678229,285217,18
1678229,286603,142
1678229,286604,506
1678229,286606,98
1678241,287993,13
1678245,285217,94
1678246,285217,46
1678246,285218,3
1678246,286603,30
1678246,286604,99
1678246,286605,18
1678246,286606,2
1678246,287991,2
1678246,287992,25
1678246,287993,9
1678247,285218,31
1678247,286603,49
1678247,286604,118
1678247,286605,5
1678247,286606,12
1678247,286607,16
1678247,287990,56
1678247,287991,113
1678247,287992,307
1678247,287993,182
1678247,287994,11
1678247,289379,3
1678248,285218,70
1678248,286604,11
1678248,287990,24
1678248,287991,189
1678248,287992,12
1678248,287993,56
1678248,287994,6
1678250,285217,153
1678250,285218,18
1678250,285219,83
1678250,286603,37
1678250,286604,445
1678250,286605,735
1678250,286606,218
1678250,287991,74
1678250,287992,209
1678250,287993,266
1678250,287994,7
1678251,285217,60
1678251,285218,9
1678251,286604,247
1678251,286605,712
1678251,286606,395
1678251,286607,7
1678251,287991,453
1678251,287992,128
1678251,287993,83
1678251,287994,18
1678252,286604,177
1678252,286605,347
1678252,286606,241
1678252,286607,5
1678252,287991,72
1678252,287992,372
1678252,287993,73
1678253,285218,2
1678253,286604,450
1678253,286605,467
1678253,286606,119
1678253,286607,13
1678253,287990,19
1678253,287991,94
1678253,287992,25
1678253,287993,353
1678254,285217,21
1678254,286603,29
1678254,286604,318
1678254,286605,1107
1678254,286606,518
1678254,286607,64
1678254,287990,47
1678254,287991,1198
1678254,287992,356
1678254,287993,280
1678255,286603,4
1678255,287993,20
1678255,287994,25
1678256,287993,92
2420172,286605,20
2420175,286604,509
2420175,286605,728
2420175,286606,365
2420175,286607,2
2420175,287991,62
2420175,287993,47
2421648,285217,62
2421648,287992,18
2421658,286603,145
2421658,286604,288
2421658,286605,27
2421659,286603,156
2421659,286604,562
2421659,286605,23
2421661,286604,210
2421671,286604,106
2421735,286605,3
2421735,286606,20
2421737,286605,44
2421737,287991,1022
2421737,287993,52
2421738,285217,80
2421738,285218,281
2421738,286603,59
2421738,286604,1413
2421738,286605,1455
2421738,286606,1092
2421740,285217,21
2421740,286603,20
2421740,286604,541
2421740,286605,362
2421740,287991,341
2421741,285217,303
2421741,285218,12
2421741,286603,189
2421741,286604,97
2421741,286605,770
2421741,286606,611
2421741,286607,248
2421741,287991,367
2421741,287992,1376
2421741,287993,688
2421755,286603,34
2421755,286604,296
2421755,286605,54
2421755,286606,77
2421755,286607,53
2421755,287992,8
2421755,287993,656
2422487,285217,777
2422487,285218,859
2422487,285219,54
2422487,286603,1149
2422487,286604,4710
2422487,286605,4580
2422487,286606,3658
2422487,286607,41
2422487,287990,164
2422487,287991,2886
2422487,287992,3184
2422487,287993,2908
2422487,287994,1
2422487,289379,49
2422488,285219,24
2422488,286603,163
2422488,286604,79
2422488,286605,427
2422488,286606,571
2422488,286607,5
2422488,287991,155
2422488,287992,165
2422488,287993,267
2422489,285217,64
2422489,285218,52
2422489,286603,60
2422489,286604,93
2422489,286605,357
2422489,286606,494
2422489,286607,14
2422489,287990,33
2422489,287991,192
2422489,287992,86
2422489,287993,286
2422489,289379,7
2422490,285217,98
2422490,285218,314
2422490,285219,7
2422490,286603,299
2422490,286604,1653
2422490,286605,1156
2422490,286606,1253
2422490,286607,10
2422490,287990,15
2422490,287991,940
2422490,287992,1766
2422490,287993,2976
2422490,287994,5
2422490,289379,59
2422495,285217,37
2423836,285218,2
2423836,285219,62
2423836,286605,14
2423836,287990,5
2423836,287991,289
2423837,285218,33
2423837,286604,410
2423837,286605,320
2423837,286606,625
2423837,286607,152
2423837,287990,56
2423837,287992,400
2423837,287993,12
2423838,285217,31
2423838,285218,138
2423838,285219,62
2423838,286604,345
2423838,286605,469
2423838,286606,636
2423838,286607,28
2423838,287991,151
2423838,287992,427
2423838,287993,367
3180044,286605,3
3180044,286606,51
3180046,286605,76
3180046,286606,20
3180047,286605,60
3180047,287993,19
NA,NA,144943
