"mukey","grid.ids","n"
539587,289440,16
539587,289441,127
539587,289442,120
539587,289443,1146
539587,289444,379
539587,289445,174
539587,290829,8
539589,289442,13
539592,289441,30
539592,289443,12
539593,289441,62
539593,289442,26
539593,289444,11
539593,290827,404
539593,290828,337
539593,290830,88
539594,289444,35
539594,290828,36
539594,290830,1
539596,289441,194
539598,289442,223
539599,289440,188
539599,289441,518
539599,289442,550
539599,289443,85
539599,289444,112
539599,290826,149
539599,290827,129
539599,290828,1
539599,290829,30
539600,289441,79
539600,290826,1
539600,290827,22
539600,290829,14
539601,290828,41
539601,290829,23
539602,289441,6
539603,289441,129
539603,289442,131
539603,289443,56
539603,289444,168
539603,289445,147
539603,290826,165
539603,290827,748
539603,290828,538
539603,290829,922
539603,290830,473
539603,290831,170
539604,289441,488
539604,289442,250
539604,289443,103
539604,289444,271
539604,289445,113
539604,290826,644
539604,290827,1866
539604,290828,1281
539604,290829,1853
539604,290830,868
539604,290831,202
539605,289440,26
539605,289441,260
539605,289442,246
539605,289443,94
539605,289444,147
539605,289445,9
539605,290826,560
539605,290827,1469
539605,290828,1152
539605,290829,1052
539605,290830,586
539605,290831,18
539606,290829,30
539608,290828,118
539608,290829,7
539609,290828,102
539609,290829,121
539610,289441,757
539610,289442,586
539610,289443,488
539610,289444,943
539610,289445,543
539610,290829,21
539610,290830,17
539611,289440,6
539611,289441,1209
539611,289442,1755
539611,289443,1045
539611,289444,1633
539611,289445,694
539611,290829,12
539612,289440,11
539612,289441,494
539612,289442,654
539612,289443,1050
539612,289444,1144
539612,289445,182
539612,290829,37
539613,289443,64
539613,290828,60
539613,290829,31
539614,289442,196
539614,289443,319
539614,290826,62
539614,290827,76
539615,289442,534
539615,289443,536
539615,289444,236
539615,289445,70
539615,290826,134
539615,290827,626
539615,290828,774
539615,290829,70
539617,289444,2
539617,290828,3
539621,290827,374
539622,290827,587
539622,290828,3
539623,290827,52
539624,290827,133
539625,290827,140
539625,290828,5
539626,290827,151
539626,290828,8
539627,290827,74
539627,290828,3
539628,290827,181
539628,290828,39
539629,290827,18
539630,290827,33
539632,289441,41
539632,289442,178
539632,289443,117
539632,289444,165
539632,289445,30
539632,290826,57
539632,290827,473
539632,290828,519
539632,290829,111
539632,290830,314
539632,290831,153
539633,289440,48
539633,289441,128
539633,289442,454
539633,289443,31
539633,289444,242
539633,289445,13
539633,290826,318
539633,290827,1309
539633,290828,2251
539633,290829,259
539633,290830,288
539634,289441,31
539634,289442,202
539634,289444,39
539634,289445,15
539634,290826,77
539634,290827,531
539634,290828,188
539634,290829,153
539634,290830,8
539635,290827,132
539635,290828,240
539636,290827,199
539636,292213,54
539637,289443,11
539637,289444,539
539637,289445,332
539637,290827,61
539637,290828,257
539637,290829,108
539638,289441,53
539638,289442,4
539638,289444,59
539638,290827,135
539638,290828,209
539641,290827,509
539642,290827,121
539643,290827,40
539643,290828,82
539643,290829,45
539644,289442,40
539644,289445,10
539644,290827,58
539644,290828,129
539644,290829,60
539645,289443,50
539645,290829,56
539646,289442,1757
539646,289443,1430
539646,289444,1338
539646,289445,405
539646,290826,95
539646,290827,459
539646,290828,1116
539646,290829,238
539647,289442,331
539647,289443,689
539647,289444,596
539647,289445,208
539647,290826,12
539647,290827,649
539647,290828,332
539650,289442,193
539650,289443,886
539650,289444,201
539650,289445,156
539650,290829,14
539650,290830,18
539650,290831,53
539651,289441,34
539651,289442,864
539651,289443,1072
539651,289444,201
539651,289445,121
539652,289442,242
539652,289444,21
539653,290826,187
539653,290827,88
539654,289441,153
539654,289442,164
539654,289443,239
539654,289444,174
539654,289445,139
539655,289441,97
539655,289442,690
539655,289443,491
539655,289444,428
539655,289445,45
539655,290829,52
539656,289442,7
539658,289440,11
539663,290827,40
539665,290828,42
539666,289441,9
539666,290827,31
539666,290829,3
539667,290828,437
539667,290829,15
539668,290828,255
539668,290829,153
539675,290826,39
539677,289441,52
539677,289443,82
539677,290829,9
539677,290830,23
539678,289440,1
539678,289441,50
539678,289442,5
539678,289443,33
539678,290827,73
539678,290828,270
539678,290829,100
539678,290830,53
539678,290831,39
539679,289442,25
539679,289444,56
539679,290826,22
539679,290827,252
539679,290828,275
539680,290826,120
539680,290827,85
539680,290829,10
539681,289441,70
539681,290826,246
539681,290827,180
539681,290830,10
539682,289441,113
539682,289442,2
539682,289443,13
539682,290826,291
539682,290827,631
539682,290828,117
539682,292213,2
539683,289440,24
539683,289441,1107
539683,289442,990
539683,289443,643
539683,289444,676
539683,289445,54
539683,290826,1712
539683,290827,3602
539683,290828,2085
539683,290829,1290
539683,290830,416
539683,290831,12
539683,292213,21
539688,290827,17
539689,289441,5
539689,289442,10
539689,289443,6
539689,290826,2
539689,290827,9
539689,290828,1
539689,290829,1
539689,290830,1
539689,290831,2
NA,NA,166845
