"huc12","name","states","areasqkm","Agriculture","Barren","Developed","Natural","Water","Unknown","huc2","Wetland","Corn","Soybeans","Pasture","Alfalfa","Grass_hay","Rowcrop","Vegetable","Perennial","pcAg.pasture","pcAg.cornsoy","pcAg.perennial","pcAg.other","B","C","C.D","B.D","D","A","A.D","NA.","STATEFP","COUNTYFP","COUNTYNS","AFFGEOID","GEOID","NAME","LSAD","ALAND","AWATER","n"
"050100070802","North Branch Two Lick Creek-Two Lick Creek","PA",86.99,26.4754654981049,0.266981584156509,9.44586810979003,63.7609890606037,0.0506957473448422,0,"05",0.0351766410147884,4.24468278530187,3.68231776032347,12.7094728431473,1.79017187677434,3.55418183509271,0.36131906761931,0,0.0113806779753727,48.0047191013774,29.9409298249836,0.0429857521341309,21.5507930536472,0.384852256662156,89.6267112852878,3.88728206580733,0.735720596966192,0,5.36543379527649,0,0,"42","063","01213673","0500000US42063","42063","Indiana","06",2143140107,17642456,1
"050100071003","Hendricks Creek","PA",76.07,18.6965813351229,0.0199454904734334,7.02552155659709,74.1834107898262,0.074540827980376,0,"05",0.0130150652029228,3.44183255048752,1.31003000105788,8.41982887910405,2.27170719269148,3.15122697007118,0.0579704384767794,0,0.00257373213379167,45.0340558425341,25.415676087364,0.0137657900535898,29.3150095356907,0,70.1571083642114,25.7022093875545,0,2.20647846055679,1.93420378767732,0,0,"42","129","01209191","0500000US42129","42129","Westmoreland","06",2662611738,20838920,1
"050100050903","Boyd Run-Deer Creek","PA",76.86,19.1692861474272,0.0456685121419706,8.92969588712342,71.7921161288031,0.0632333245042669,0,"05",0.119440724063615,1.20875414273666,0.984457620415163,9.28828444442537,0.589703172030631,6.95435537554559,0.111154660159337,0,0.00798599480724316,48.4539923552239,11.4412803183398,0.0416603662015604,39.9347849933525,1.71357764082909,1.41935846338841,86.0728055267478,0,3.64183051459587,7.15242785443885,0,0,"42","031","01210234","0500000US42031","42031","Clarion","06",1556159014,23329372,1
"050100070301","Lake Stonycreek-Rhoads Creek","PA",68.1,26.4692190046889,0.626580229467929,8.50959069021202,60.4228879283228,3.97172214730843,0,"05",0.140718519228104,2.87932290889517,0.403251663601993,12.8402373789304,0.175234067967167,9.98053254327668,0.0860246287115296,0,0,48.5100726872817,12.4014787588394,0,38.6932128150101,15.2011562585758,21.4972773094005,48.0371349219389,0,7.20749557806209,8.0569359320227,0,0,"42","111","01209188","0500000US42111","42111","Somerset","06",2782592219,17007774,1
"050200060703","Buffalo Creek","PA",91.12,38.2920969764607,0.511912579702858,7.70300557858942,53.4070543333286,0.0859305319184029,0,"05",0.111080171855217,7.92589601920612,1.10174029488859,15.8720897457285,0.436555217950187,12.3244427362526,0.480698255222325,0,0.00987707263429918,41.4500406062522,23.5757167324742,0.0257940238696536,34.5807549206959,15.5802327460644,36.6256478104582,33.5560954412774,0.702369610036163,0.31940238231236,13.2162520098515,0,0,"42","111","01209188","0500000US42111","42111","Somerset","06",2782592219,17007774,1
"050200060706","South Glade Creek-Casselman River","PA",71.64,48.8282606714808,0.497689228039454,6.7648611911271,43.1524030698825,0.756785839470121,0,"05",0.140081621497713,13.6424436287015,5.38281754672226,16.4687174860968,0.239838286341555,12.0928318213439,0.91811059064561,0,0.00376901846537579,33.7278396969723,38.963626624808,0.00771892836964632,27.1375234671639,23.8718394542145,12.4807171013536,35.3677789688655,0,21.0289074815185,7.25075699404788,0,0,"42","111","01209188","0500000US42111","42111","Somerset","06",2782592219,17007774,1
"050200060709","High Point Lake-Casselman River","PA",92.3,10.3144652163796,0.128741459352633,4.45684292283484,81.964867312308,3.13508308912502,0,"05",0.136565978423524,2.07177113836401,1.10632418406193,4.66694441245218,0.112585630804439,2.24107545450091,0.0647701224779514,0,0.00292527839236354,45.2465960624016,30.8120222983452,0.0283609312843301,23.4469859275184,40.1847719950188,2.00830451936142,19.173873698736,0,4.43013934053468,34.2029104463491,0,0,"42","111","01209188","0500000US42111","42111","Somerset","06",2782592219,17007774,1
"020700090202","Upper Marsh Creek","PA",65.43,48.7469484370726,0.0316361499477876,7.97218872433883,43.115804664948,0.133422023692843,0,"02",1.43242721098262,10.8174015270841,6.14106347486472,18.441570202941,0.280080426057647,11.4811399291238,0.851456158437404,0.00825290868203154,0.694472796365164,37.8312300445785,34.7887725194542,1.42464875983295,25.8907066533473,42.9743052858903,9.32624218036405,12.531592764094,0.978122509020607,21.5144611651453,12.6752760954857,0,0,"42","001","01213656","0500000US42001","42001","Adams","06",1343584297,7700079,1
"050100011106","Blue Eye Run-Brokenstraw Creek","PA",92.65,15.1763115947919,0.0902049901180969,5.45580230606046,79.174706597052,0.102974511977547,0,"05",8.23032040287319,2.64654472575445,1.41210402310578,5.9516010651456,0.438570027442906,4.50084872363414,0.112211795997683,0.00194285492177901,0.0454598839881562,39.2163868537599,26.7433145630263,0.299545009366814,33.2990883221637,1.49883764190553,12.4055607175114,38.4558850678883,2.76317144576595,40.7698628901648,4.10668223676405,0,0,"42","123","01213691","0500000US42123","42123","Warren","06",2289908286,37358226,1
"050100050703","Toby Creek","PA",91.86,19.4029108582938,0.0346198114752018,5.98035576715415,74.4785402028887,0.103573360188165,0,"05",0.112383245672504,2.74230780339977,0.998613404760764,8.57250943995932,0.705296581207419,5.60597579793858,0.74608676849403,0.00370943725341574,0.0019594224331407,44.1815638002325,19.2802061272238,0.0100986003979044,36.3918003667742,1.50034132575133,4.12291869322182,78.7887602462924,0,8.7058315834785,6.88214815125598,0,0,"42","031","01210234","0500000US42031","42031","Clarion","06",1556159014,23329372,1
